Tag Name,Tag Description,Tag Type,ABC Class,PSM Critical,Unit
E-PB2NE,Air Craft Warning Light PANEL (T340),PANEL BOARD,B,,
E-PB3F,ORU  RECEPT PANEL      Fractionation 2,PANEL BOARD,B,,
F-MCC01A,CFU LV MCC 690V F-L1A FOR PM INSPT,MCC,A,,
F-MCC01E,CFU LV MCC 690V F-L1E FOR PM INSPT,MCC,A,,
ISBL-C-560-LF,C2 REFRIG SYSTEM SYSTEM LIGHTING,LIGHTING,C,,
ISBL-H-0100-MOTOR-GP,FURNANCE MOTOR GROUP FOR PM INSPT,MOTOR,C,,
ISBL-H-0100-WO-GP,FURNANCE WELDING OUTLET GROUP,RECEPTACLE,C,,
ISBL-O-700-MOTOR-GP,OLEFINS CONVERSION MOTOR GP FOR PM,MOTOR,C,,
ISBL-O-700-WO-GP,OLEFINS CONVERSION WELDING OUTLET,RECEPTACLE,C,,
LCP-CM-2094-B,SOOT BLOWER CONTROL PANEL AT BOILER B,LCPANEL,C,,
LCS-CM-2094-14C,MOTOR LCS SOOT BLOWER at SUPER HEATER,LCS,C,,
LCS-CM-2094-9C,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2201C,DEGASIFIER FAN C MOTOR LCS,LCS,B,,
LCS-EM-711,Treater Regeneration LCS,LCS,B,,
LCS-EM-850D,DEOCTANIZER CONDENSER LCS,LCS,A,,
LCS-EM-850H,DEOCTANIZER CONDENSER LCS,LCS,A,,
LCS-EM-870H,SRC CONDENSER LCS,LCS,A,,
LCS-EM-870L,SRC CONDENSER LCS,LCS,A,,
LCS-PM-1310A,PM-1310A PROPYLENE EXPORT PUMP A LCS,LCS,A,,
LCS-PM-1420,PM-1420 IB RICH (HIB) FEED PUMP LCS,LCS,A,,
LCS-PM-1540A,PM-1540A BENZENE EXPORT PUMP A LCS,LCS,B,,
LCS-PM-2010B,MOTOR LCS FOR P-2021B,LCS,B,,
LCS-PM-2021A-P1A,MOTOR LCS FOR P-2021A-P1A,LCS,B,,
LCS-PM-2022A,MOTOR LCS FOR P-2022 A,LCS,C,,
LCS-PM-206B,PM-206B QUENCH OIL PUMP LCS,LCS,A,,
LCS-PM-2101C,INTERMEDIATE WATER PUMP C MOTOR LCS,LCS,B,,
LCS-PM-2103A,BELT WASH PUMP A MOTOR LCS,LCS,B,,
LCS-PM-2164B,POLYMER DOSING PUMP II MOTOR LCS,LCS,B,,
LCS-PM-2200B,DEMINERALIZED WATER PUMP MOTOR LCS,LCS,B,,
LCS-PM-2201B,TREATED WATER FEED PUMP B MOTOR LCS,LCS,C,,
LCS-PM-2205B,NEUTRALIZATION PUMP B MOTOR LCS,LCS,B,,
LCS-PM-222,QUENCH WATER DRAIN PUMP LCS,LCS,A,,
LCS-PM-2251A,HCl METERING PUMP I A MOTOR LCS,LCS,B,,
LCS-PM-2251B,HCl METERING PUMP I B MOTOR LCS,LCS,B,,
LCS-PM-2414A,MOTOR LCS FOR P-2414 A,LCS,B,,
LCS-PM-301B,C.G.1ST STAGE SUCTION DRUM PUMP LCS,LCS,B,,
LCS-PM-302A,DISTILLATION STRIPPER FEED PUMP LCS,LCS,B,,
LCS-PM-3031B,PM-3031B OILY WATER PUMP B LCS,LCS,C,,
LCS-PM-3060B,MOTOR LCS FOR P-3060B,LCS,C,,
LCS-PM-3341A,MOTOR LCS FOR P-3341A,LCS,B,,
LCS-PM-4000A,MOTOR LCS FOR P-4000A,LCS,C,,
LCS-PM-641B,C3 TOWER NO.2 REFLUX PUMP LCS,LCS,B,,
LCS-PM-641D,C3 TOWER NO.2 REFLUX PUMP LCS,LCS,B,,
LCS-PM-651A,LCS for C3 Tower No.4 Reflux Pump,LCS,C,,
LCS-PM-661,C3R INVENTORY RECOVERY PUMP LCS,LCS,B,,
LCS-PM-722A,SHU 1STSTAGE RECYCLE/EFFLUENT PUMPS LCS,LCS,B,,
LCS-PM-756B,DEISOBUTENIZER BOTTOMS PUMP LCS,LCS,B,,
LCS-PM-760A-P1B,LUBE OIL PUMP LCS,LCS,A,,
LCS-PM-840A,STABILIZER REFLUX PUMPS LCS,LCS,B,,
LCS-PM-846B,STABILIZER BOTTOM PUMPS LCS,LCS,B,,
LCS-PM-850A,DEOCTANIZER REFLUX PUPMS LCS,LCS,A,,
LCS-PM-861A,EDC WATER PUMPS LCS,LCS,A,,
LCS-PM-861B,EDC WATER PUMPS LCS,LCS,A,,
LCS-PM-866A,EDC BOTTOM PUMPS LCS,LCS,B,,
LCS-PM-871B,SRC WATER PUMPS LCS,LCS,A,,
LCS-PM-872B,WATER SURGE PUMPS LCS,LCS,A,,
LCS-PM-896B,TOLUENE BOTTOMS PUMPS LCS,LCS,B,,
LCS-ZM-2101-1B,Scraper drive B motor LCS,LCS,B,,
MCC-CM-100G,INDUCED DRAFT FAN G MCC,MCC,A,,
MCC-CM-2094-11C,MOTOR MCC SOOT BLOWER at Economizer,MCC,C,,
MCC-CM-2094-14C,MOTOR MCC SOOT BLOWER at SUPER HEATER,MCC,C,,
MCC-CM-2094-4B,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-4C,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2201A,DEGASIFIER FAN A MOTOR MCC,MCC,B,,
MCC-CM-2201B,DEGASIFIER FAN B MOTOR MCC,MCC,B,,
MCC-CM-2400J,MOTOR MCC FOR C-2400 J,MCC,B,,
MCC-CM-3200B-P1B,STAND-BY LO PUMP MCC,MCC,B,,
MCC-CM-3301B,MOTOR MCC FOR C-3301B,MCC,C,,
MCC-EM-850F,DEOCTANIZER CONDENSER MCC,MCC,A,,
MCC-EM-896B,XYLENE COOLER MCC,MCC,A,,
MCC-PM-1410,PM-1410 RAW C4 FEED PUMP MCC,MCC,A,,
MCC-PM-1516,PM-1516 OFF SPEC PYGAS RECYCLE PUMP MCC,MCC,B,,
MCC-PM-1951A,MOTOR MCC FOR P-1951 A,MCC,C,,
MCC-PM-2023B,MOTOR MCC FOR P-2023 B,MCC,B,,
MCC-PM-202A,QUENCH OIL DRAIN DRUM PUMP MCC,MCC,B,,
MCC-PM-2051B,MOTOR MCC FOR P-2051 B,MCC,B,,
MCC-PM-216A,PYROLYSIS GASL OIL PRODUCT PUMP MCC,MCC,B,,
MCC-PM-2261A,NaOH METERING PUMP I A MOTOR MCC,MCC,B,,
MCC-PM-2262B,NaOH METERING PUMP II B MOTOR MCC,MCC,B,,
MCC-PM-2263B,NaOH PUMP FOR CONDENSATE POLISHER B,MCC,B,,
MCC-PM-2402A,MOTOR MCC FOR P-2402 A,MCC,C,,
MCC-PM-2413B,MOTOR MCC FOR P-2413 B,MCC,B,,
MCC-PM-3010B,MOTOR MCC FOR P-3010 B,MCC,B,,
MCC-PM-3033A,PM-3033A OILY WATER PUMP B MCC,MCC,C,,
MCC-PM-3080B,MOTOR MCC FOR P-3080 B,MCC,B,,
MCC-PM-318,EMERGENCY OIL PUMP MCC,MCC,A,,
MCC-PM-3202B,SPENT CAUSTIC FEED PUMP MCC,MCC,B,,
MCC-PM-3203B,SPENT WASH TOWER CIRCUL.PUMP MCC,MCC,B,,
MCC-PM-3340A,MOTOR MCC FOR P-3340A,MCC,B,,
MCC-PM-3350A,MOTOR MCC FOR P-3350A,MCC,B,,
MCC-PM-365B,"CONDENSATE PUMP FOR E-365A,B MCC",MCC,C,,
MCC-PM-641D,C3 TOWER NO.2 REFLUX PUMP MCC,MCC,B,,
MCC-PM-668B,LUBE OIL PUMP MCC,MCC,B,,
MCC-PM-756B,DEISOBUTENIZER BOTTOMS PUMP MCC,MCC,B,,
MCC-PM-770B,DEETHY REFLUX/C2 RECY.PUMP MCC,MCC,B,,
MCC-PM-780A,DEPRO. REFLUX/PRODUCT PUMP MCC,MCC,B,,
MCC-PM-879,SOLVENT SUMP PUMP MCC,MCC,C,,
MCC-ZM-2151-1,Gravity Belt Thickener motor MCC,MCC,B,,
M-MV-1124,MSS MV SWGR FOR FUTURE,MV SWGR,C,,
M-PTR,POWER TRANSFORMER IN MSS,POWER TRANSFORMER,A,,
OCU-SUBC-HVAC,OCU HVAC,HVAC,A,,
PM-1213A,Motor for P-1213A,MOTOR,B,,
PM-1420,Motor for P-1420,MOTOR,A,,
PM-1510,Motor for P-1510,MOTOR,B,,
PM-2010B,MOTOR FOR P-2021B,MOTOR,B,,
PM-2021B-P1B,MOTOR FOR P-2021B-P1B,MOTOR,B,,
PM-2021C-P1A,MOTOR FOR P-2021C-P1A,MOTOR,B,,
PM-2022B,MOTOR FOR P-2022 B,MOTOR,C,,
PM-206A-P1B,PM206A-P1B LUBE OIL PUMP,MOTOR,C,,
PM-2170B,CHEMICAL SUMP PUMP A  MOTOR,MOTOR,C,,
PM-2202D,DEGASIFIER WATER PUMP D MOTOR,MOTOR,B,,
PM-2203A,REGENERATION PUMP A MOTOR,MOTOR,B,,
PM-2263A,NaOH PUMP FOR CONDENSATE POLISHER A,MOTOR,B,,
PM-2401B,MOTOR  FOR P-2401B,MOTOR,B,,
PM-2410B,MOTOR FOR P-2410B,MOTOR,B,,
PM-2415A,MOTOR FOR P-2415 A,MOTOR,B,,
PM-3033B,PM-3033B OILY WATER PUMP B,MOTOR,C,,
PM-4000A,MOTOR FOR P-4000A,MOTOR,C,,
PM-706B,PM-706B DEBUTANIZER BOTTOM PUMP,MOTOR,B,,
PM-831A,PM-831A GHU-2 QUENCH PUMPS,MOTOR,A,,
PM-866A,PM-866A EDC BOTTOM PUMPS,MOTOR,B,,
PM-881B,PM-881B Benzene Product Pumps,MOTOR,B,,
TFU-CAP,TFU POWER CAP,POWER CAPACITOR,C,,
TFU-DB,TFU LV DISTRIBUTION BOARD,PANEL BOARD,A,,
TFU-INT,TFU INTERCOM,INTERCOM,B,,
T-LV01T,TFU LV SWGR FOR 690V BUS TIE,LV SWGR,A,,
T-MV-2922,TFU MV SWGR FOR TR-05,MV SWGR,A,,
T-PB03E,TFU PANEL BOARD FOR FLARE SYSTEM,PANEL BOARD,A,,
T-PB04E,TFU PANEL BOARD FOR FIRE WATER SYSTEM,PANEL BOARD,A,,
T-TR04,TFU DISTRIBUTION TR NO.04,DISTRIBUTION TRANSFORMER,A,,
U-MV-2017,CTU MV SWGR FOR TR-07,MV SWGR,A,,
U-PBBC03-2B,"ORU 24VDC PANEL FOR CONTROL MCC BUS B,E",PANEL BOARD,A,,
VVVF-CM100A,VVVF PANEL FOR FDF CM100A,VARISPEED,A,,
VVVF-CM100B,VVVF PANEL FOR FDF CM100B,VARISPEED,A,,
PM-2800B-P1B,MOTOR FOR P-2800B-P1 B,MOTOR,B,,
PM-3201B,PM3201B SPENT CAUSTIC GASOLINE CIR. PUMP,MOTOR,B,,
PM-3203A,PM-3203A SPENT WASH TOWER CIRCUL.PUMP,MOTOR,B,,
PM-343B,PM-343B INTERMEDIATE CAUSTIC CIR PUMP,MOTOR,B,,
PM-468B,PM-468B LUBE OIL PUMP,MOTOR,B,,
PM-500B,PM-500B DEETHANIZER REFLUX PUMP,MOTOR,B,,
PM-505A,PM-505A CONDENSATE PUMP FOR E-505A/B,MOTOR,C,,
PM-521B,"PM-521B CONDENSATE PUMP FOR E-521 A,B",MOTOR,C,,
PM-605B,"PM-605B CONDENSATE PUMP FOR E-605 A,B",MOTOR,C,,
PM-640A,PM-640A C3 TOWER NO.1 REFLUX PUMP,MOTOR,B,,
PM-640B,PM-640B C3 TOWER NO.1 REFLUX PUMP,MOTOR,B,,
PM-640D,PM-640D C3 TOWER NO.1 REFLUX PUMP,MOTOR,B,,
PM-701A,PM-701A RAW C4 PRODUCT PUMP,MOTOR,B,,
PM-750A,PM-750A DEISOBUTEIZER REFLUX PUMP,MOTOR,B,,
PM-811A,PM-811A C5 PRODUCT PUMPS,MOTOR,B,,
PM-861A,PM-861A EDC WATER PUMPS,MOTOR,A,,
PM-866B,PM-866B EDC BOTTOM PUMPS,MOTOR,B,,
PM-870A,PM-870A SRC REFLUX PUMPS,MOTOR,A,,
T-BC03,TFU BATT CHARGER FOR 24V LV MCC CONTROL,BATTERY CHARGER (BC),A,,
T-BD02,TFU LV BUS DUCT 690 V FOR LV MCC T-L1B,BUS DUCT,A,,
T-BD03,TFU LV BUS DUCT 400 V FOR LV MCC T-L2A,BUS DUCT,A,,
T-DG5002,TFU DIESEL GEN 690 V 1000 kVA,DIESEL GENERATOR,A,,
TFU-ELF,TFU EMERGENCY LIGHTING,LIGHTING,C,,
TFU-MCC,TFU LV MCC FOR PM INSPT,MCC,A,,
TFU-UPS,TFU UPS,UPS,A,,
T-LV02TE,TFU LV SWGR FOR 400V BUS TIE EMERG.,LV SWGR,A,,
T-LV-LV02E,TFU LV SWGR FOR 400 V OUTGOING BUS E,LV SWGR,A,,
T-MCC02E,TFU LV MCC 400V T-L2E FOR PM INSPT,MCC,A,,
T-PB01,TFU PANEL BOARD FOR RECEPTACLE LCB-2,PANEL BOARD,C,,
EM-870K,EM-870K SRC CONDENSER,MOTOR,A,,
EM-880D,EM-880D BENZENE CONDENSER,MOTOR,A,,
E-MCC02E,ORU LV MCC 690V E-L1E FOR PM INSPT,MCC,A,,
E-MV-2212,MOTOR MV SWITCHGEAR FOR CM-130A,MV SWGR,A,,
E-MV-2222,ORU MV SWGR FOR BUS-A PT,MV SWGR,A,,
E-PB1DE,ORU  LT PANEL Quenching EMER,PANEL BOARD,B,,
E-PB1GE,ORU  RECEPT    PANEL Quenching EMER,PANEL BOARD,B,,
E-PB4F,ORU  RECEPT PANEL     Fractionation 2,PANEL BOARD,B,,
F-PB09E,CFU  RECEPT PANEL EMER,PANEL BOARD,B,,
F-TR-02,CFU DISTRIBUTION TR-02,DISTRIBUTION TRANSFORMER,A,,
ISBL-C-440-WO-GP,HYDROGEN PURIFI WELDING OUTLET,RECEPTACLE,C,,
ISBL-C-560-LCS-GP,C2 REFRIG SYSTEM LCS GROUP FOR PM,LCS,C,,
ISBL-C-560-MOTOR-GP,C2 REFRIG SYSTEM MOTOR GP FOR PM,MOTOR,C,,
ISBL-C-560-WO-GP,C2 REFRIG SYSTEM WELDING OUTLET,RECEPTACLE,C,,
ISBL-C-700-LCS-GP,C4 TRAIN LCS GROUP FOR PM,LCS,C,,
ISBL-C-700-MOTOR-GP,C4 TRAIN MOTOR GP FOR PM,MOTOR,C,,
LCS-CM-100B,INDUCED DRAFT FAN B LCS,LCS,A,,
LCS-CM-100G,INDUCED DRAFT FAN G LCS,LCS,A,,
LCS-CM-2050C,MOTOR LCS FOR CM-2050C,LCS,A,,
LCS-CM-2094-10B,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2094-11A,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2094-12C,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2094-14B,MOTOR LCS SOOT BLOWER at SUPER HEATER,LCS,C,,
LCS-CM-2094-6C,MOTOR LCS SOOT BLOWER at Boiler BANK,LCS,C,,
LCS-CM-2094-8C,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2201A,DEGASIFIER FAN A MOTOR LCS,LCS,B,,
LCS-CM-2202A,MIXING BLOWER FOR MIXED BED A MOTOR LCS,LCS,B,,
LCS-CM-2400A,MOTOR LCS FOR C-2400 A,LCS,B,,
PM-216A,PM-216A PYROLYSIS GASL OIL PRODUCT PUMP,MOTOR,B,,
PM-2210B,RAW CONDENSATE PUMP B MOTOR,MOTOR,B,,
PM-2254B,HCl METERING PUMP FOR NWP B MOTOR,MOTOR,B,,
PM-226C-P1B,PM-226C-P1B LUBE OIL PUMP,MOTOR,B,,
PM-2400D,MOTOR FOR P-2400D,MOTOR,B,,
PM-2414B,MOTOR FOR P-2414 B,MOTOR,B,,
PM-2417B,MOTOR FOR P-2417 B,MOTOR,C,,
PM-3031A,PM-3031A OILY WATER PUMP A,MOTOR,C,,
PM-3033A,PM-3033A OILY WATER PUMP B,MOTOR,C,,
PM-3110,PM-3110 CAUSTIC DRAIN PUMP,MOTOR,B,,
PM-426B,PM-426B DEMETHANIZER BOTTOM PUMP,MOTOR,A,,
PM-500A,PM-500A DEETHANIZER REFLUX PUMP,MOTOR,B,,
PM-668B,PM-668B LUBE OIL PUMP,MOTOR,B,,
PM-801B,PM-801B GHU-1 RECYCLE  PUMP,MOTOR,A,,
PM-860A,PM-860A EDC REFLUX PUMPS,MOTOR,A,,
PM-860B,PM-860B EDC REFLUX PUMPS,MOTOR,A,,
PM-871B,PM-871B SRC WATER PUMPS,MOTOR,A,,
PM-877,PM-877 PLANT SOLVENT TANK PUMP,MOTOR,C,,
RWT-BC01,RWT BATT CHARGER FOR LV MCC CONTROL,BATTERY CHARGER (BC),A,,
RWT-PB02,RWT MOTOR VFD PANEL BOARD,PANEL BOARD,A,,
TFU-CTV,TFU CCTV,CCTV,B,,
TFU-LCS-GP,TFU LCS GROUP FOR PM INSPT,LCS,A,,
T-MCC01A,TFU LV MCC 690V T-L1A FOR PM INSPT,MCC,A,,
T-MCC01E,TFU LV MCC 690V T-L1E FOR PM INSPT,MCC,A,,
T-MV-2911,TFU MV SWGR FOR SPARE TR FEEDER,MV SWGR,C,,
T-PB03,TFU PANEL BOARD FOR OUTDOOR LIGHTING1,PANEL BOARD,B,,
T-PDB-UPS03,TFU PANEL BOARD FOR 220V T-UPS03,PANEL BOARD,A,,
T-TR03,TFU DISTRIBUTION TR NO.03,DISTRIBUTION TRANSFORMER,A,,
U-LV04A,CTU LV SWGR FOR 400V INCOMING BUS A,LV SWGR,A,,
U-MCC03E,CTU LV MCC 690V U-L3E FOR PM INSPT,MCC,A,,
ORU-BD,ORU LV BUSDUCT FOR PM INSPT,BUS DUCT,A,,
ORU-G,ORU GROUNDING,GROUND,A,,
ORU-JE-560,OVERHEAD CRANE FOR C-560,CRANE,A,,
PM-001B,PM-001B CONDENSATE PUMP FOR E001,MOTOR,C,,
PM-005,PM-005 DMDS Injection Pump,MOTOR,B,,
PM-1516,Motor for P-1560,MOTOR,B,,
PM-1610A,Motor for P-1610A,MOTOR,C,,
PM-2021A-P1A,MOTOR FOR P-2021A-P1A,MOTOR,B,,
PM-2101A,INTERMEDIATE WATER PUMP A MOTOR,MOTOR,B,,
PM-2105A,SLUDGE  FEED PUMP A MOTOR,MOTOR,B,,
PM-2106B,RECOVERY WATER PUMP B MOTOR,MOTOR,B,,
PM-2162A,ALUM DOSING PUMP A MOTOR,MOTOR,B,,
PM-2201B,TREATED WATER FEED PUMP B MOTOR,MOTOR,C,,
PM-2202E,DEGASIFIER WATER PUMP E MOTOR,MOTOR,B,,
PM-2203B,REGENERATION PUMP B MOTOR,MOTOR,B,,
PM-227B,PM-227B QUENCH TOWER REFLUX PUMP,MOTOR,A,,
PM-2413B,MOTOR FOR P-2413 B,MOTOR,B,,
PM-2800A-P1B,MOTOR FOR P-2800A-P1 B,MOTOR,B,,
PM-3204,PM-3204 SPENT OILY DRAIN TRANSFER PUMP,MOTOR,A,,
PM-4001B,MOTOR FOR P-4001,MOTOR,C,,
PM-520B,PM520B C2 GREEN OIL SCRUBBER REFLUX PUMP,MOTOR,B,,
PM-601B,PM-601B DEPROPANIZER NET OVERHEAD PUMP,MOTOR,B,,
PM-643,PM-643 C3 TOWER INVENTORY RECOVERY PUMP,MOTOR,C,,
PM-706A,PM-706A DEBUTANIZER BOTTOM PUMP,MOTOR,B,,
PM-801A,PM-801A GHU-1 RECYCLE  PUMP,MOTOR,A,,
PM-838A,PM-838A MAIN COOLING WATER PUMP,MOTOR,B,,
PM-856A,PM-856A DEOCTANIZER BOTTOM PUMPS,MOTOR,B,,
PM-960,PM-960 HYDROCARBON SUMP PUMPS,MOTOR,B,,
PM-963B,PM-963B OILY WATER SLOP PUMPS,MOTOR,C,,
RWT-IRB,RWT INTERPOSING RELAY PANEL,IRP,A,,
LCS-PM-3202B,SPENT CAUSTIC FEED PUMP LCS,LCS,B,,
LCS-PM-343B,INTERMEDIATE CAUSTIC CIR PUMP LCS,LCS,B,,
LCS-PM-426B,DEMETHANIZER BOTTOM PUMP LCS,LCS,A,,
LCS-PM-521B,"CONDENSATE PUMP FOR E-521 A,B LCS",LCS,C,,
LCS-PM-600B,DEPROPANIZER REFLUX PUMP LCS,LCS,B,,
LCS-PM-660B,C3R COMP. TURBINE CONDENSATE PUMP LCS,LCS,B,,
LCS-PM-700A,DEBUTANIZER REFLUX PUMP LCS,LCS,B,,
LCS-PM-705A,"CONDENSATE PUMP FOR E-705 A,B LCS",LCS,C,,
LCS-PM-750A,DEISOBUTEIZER REFLUX PUMP LCS,LCS,B,,
LCS-PM-751A,ISOBUTENE PRODUCT PUMP LCS,LCS,B,,
LCS-PM-760B-P1B,LUBE OIL PUMP LCS,LCS,A,,
LCS-PM-840B,STABILIZER REFLUX PUMPS LCS,LCS,B,,
LCS-PM-886A,Benzene Bottoms Pumps LCS,LCS,B,,
LCS-XM-3081,MOTOR LCS FOR X-3081,LCS,B,,
LCS-XM-3380,MOTOR LCS FOR X-3380,LCS,C,,
MCC-CM-2051C,MOTOR MCC FOR C-2051C,MCC,B,,
MCC-CM-2094-14B,MOTOR MCC SOOT BLOWER at SUPER HEATER,MCC,C,,
MCC-CM-2094-4A,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-5C,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-8A,MOTOR MCC SOOT BLOWER at Economizer,MCC,C,,
MCC-CM-2101A,AIR COMPRESSOR A MOTOR MCC,MCC,B,,
MCC-CM-2400A,MOTOR MCC FOR C-2400 A,MCC,B,,
MCC-CM-2400B,MOTOR MCC FOR C-2400 B,MCC,B,,
MCC-CM-3200A,SPENT OXIDATION AIR COMPR MCC,MCC,B,,
MCC-EM-305B,C.G.C TURBINE CONDENSATE PUMP MCC,MCC,A,,
MCC-LCS-CM-2400C,MOTOR MCC FOR C-2400 C,MCC,B,,
MCC-PM-1010A,PM-1010A TFU NAPHTHA FEED PUMP A MCC,MCC,A,,
MCC-PM-1010B,PM-1010B TFU NAPHTHA FEED PUMP B MCC,MCC,A,,
MCC-PM-1010D,PM-1010D TFU NAPHTHA FEED PUMP D MCC,MCC,A,,
PM-2212B,REGENERATION PUMP FOR MB POLISHER B,MOTOR,B,,
PM-2253B,HCL for CONDENSATE POLISHER B MOTOR,MOTOR,B,,
PM-2262A,NaOH METERING PUMP II A MOTOR,MOTOR,B,,
PM-227A,PM-227A QUENCH OIL TOWER REFLUX PUMP,MOTOR,A,,
PM-2300A,POTABLE WATER PUMP A MOTOR,MOTOR,C,,
PM-2400G,MOTOR FOR P-2400G,MOTOR,B,,
PM-2401A,MOTOR  FOR P-2401B,MOTOR,B,,
PM-2410A,MOTOR FOR P-2410A,MOTOR,B,,
PM-2411B,MOTOR FOR P-2411 B,MOTOR,B,,
PM-2415B,MOTOR FOR P-2415 B,MOTOR,B,,
PM-2416B,MOTOR FOR P-2416 B,MOTOR,B,,
PM-301A,PM-301A C.G 1ST STAGE SUCTION DRUM PUMP,MOTOR,B,,
PM-301B,PM-301B C.G.1ST STAGE SUCTION DRUM PUMP,MOTOR,B,,
PM-302B,PM-302B DISTILLATION STRIPPER FEED PUMP,MOTOR,B,,
PM-3032A,PM-3032A OILY WATER PUMP B,MOTOR,B,,
PM-305B,PM305B C.G.C TURBINE CONDENSATE PUMP,MOTOR,A,,
PM-343A,PM-343A INTERMEDIATE CAUSTIC CIR PUMP,MOTOR,B,,
PM-380B,PM-380B C.G ABSORBER REFLUX PUMP,MOTOR,B,,
PM-540A,PM-540A C2 TOWER REFLUK PUMP,MOTOR,A,,
PM-650A,Motor for C3 Tower No.3 Reflux Pump,MOTOR,A,,
PM-678,PM-678 EMERGENCY OIL PUMP,MOTOR,B,,
PM-756B,PM-756B DEISOBUTENIZER BOTTOMS PUMP,MOTOR,B,,
PM-760A-P1B,PM-760A-P1B LUBE OIL PUMP,MOTOR,A,,
PM-800B,PM-800B GHU-1 FEED PUMPS,MOTOR,B,,
PM-838B,PM-838B AUX. COOLING WATER PUMP,MOTOR,B,,
PM-840A,PM-840A STABILIZER REFLUX PUMPS,MOTOR,B,,
PM-846A,PM-846A STABILIZER BOTTOM PUMPS,MOTOR,B,,
PM-850A,PM-850A DEOCTANIZER REFLUX PUPMS,MOTOR,A,,
PM-851B,PM-851B IMPORTEDD C8+ FEED PUMPS,MOTOR,B,,
PM-876A,PM-876A SRC BOTTOM PUMPS,MOTOR,B,,
PM-325A,"PM-325A CONDENSATE PUMP FOR E-325A,B",MOTOR,C,,
PM-4001A,MOTOR FOR P-4001,MOTOR,B,,
PM-641C,PM-641C C3 TOWER NO.2 REFLUX PUMP,MOTOR,B,,
PM-661,PM-661 C3R INVENTORY RECOVERY PUMP,MOTOR,B,,
PM-700B,PM-700B DEBUTANIZER REFLUX PUMP,MOTOR,B,,
PM-872B,PM-872B WATER SURGE PUMPS,MOTOR,A,,
PM-880A,PM-880A BENZENE REFLUX PUMPS,MOTOR,B,,
PM-886B,PM-886B Benzene Bottoms Pumps,MOTOR,B,,
RWT-PB01,RWT LIGHTING PB,PANEL BOARD,B,,
TFU-CCB-LF,CCB LIGHTING,LIGHTING,C,,
T-PB02E,TFU PANEL BOARD FOR EMER LIGHTING,PANEL BOARD,A,,
T-PC02,TFU POWER CAP NO.02,POWER CAPACITOR,C,,
U-MV-2013,MOTOR MV SWITCHGEAR FOR CM-2050C,MV SWGR,A,,
U-PB01E,STEAM & BFW EMER LIGHTING PB,PANEL BOARD,B,,
U-PB02,COOLING WATER LIGHTING PB,PANEL BOARD,B,,
U-PB06,AIR NITROGEN & WWT RECEPTACLE PB,PANEL BOARD,B,,
U-PBBC01-3,"OCU 110VDC PANEL BOARD BUS A,B,E,",PANEL BOARD,A,,
U-PBUPS03-1B,"CTU 220VAC PANEL FOR CONTROL MCC BUS B,E",PANEL BOARD,A,,
U-UPS04,CTU UPS FOR SAFETY LIGHTING,UPS,B,,
VVVF-CM100E,VVVF PANEL FOR FDF CM100E,VARISPEED,A,,
WS-CR,WORKSHOP CRANE,CRANE,B,,
WS-G,WORKSHOP GROUNDING AND LIGHTING,GROUND,B,,
WWT-BC01,WWT BATT CHARGERFOR LV MCC CONTROL,BATTERY CHARGER (BC),A,,
WWT-MCC01E,WWT LV MCC 660V WWT-L1E FOR PM INSPT,MCC,A,,
VVVF-CM120R,VVVF PANEL FOR FDF CM120R,VARISPEED,A,,
VVVF-PM-2022A,VVVF PANEL FOR PM-2022A,VARISPEED,B,,
VVVF-PM-2023A,VVVF PANEL FOR PM-2023A,VARISPEED,B,,
VVVF-PM-2052A,VVVF PANEL FOR PM-2052A,VARISPEED,B,,
ZM-2152,MOTOR OF CAKE HOPPER,MOTOR,C,,
ZM-2163-1,POLYMER PREPARATION MIXER A,MOTOR,B,,20-CTU
MCC-PM-816B,DEPENTANIZER BOTTOM  PUMPS MCC,MCC,B,,
MCC-PM-831A,GHU-2 QUENCH PUMPS MCC,MCC,A,,
MCC-PM-838B,AUX. COOLING WATER PUMP MCC,MCC,B,,
MCC-PM-871B,SRC WATER PUMPS MCC,MCC,A,,
MCC-PM-881A,Benzene Product Pumps MCC,MCC,B,,
MCC-XM-2104,SLUDGE CONDITIONING MIXER MOTOR MCC,MCC,B,,
MCC-XM-3076,MOTOR MCC FOR X-3076,MCC,C,,
M-MV-1115,MSS MV SWGR FOR INCOMING M1 11KV LINE 1,MV SWGR,A,,
M-MV-1219,MSS MV SWGR FOR IS LIMITOR No.2 UNIT M2,MV SWGR,A,,
OCU-AH-HVAC,Air Condition AH OCU,HVAC,B,,
OCU-HVAC,OCU HVAC,HVAC,A,,
OCU-MCC,OCU LV MCC FOR PM INSPT,MCC,A,,
