Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
FQI-2453,POTABLE WATER HEADER FR. CTU,FLOW IMAGE TAG,,,POTABLE WATER HEADER FR. CTU,,,,,,,
HZCL-3002,MS2 TO SEJ-3001,CONTROL VALVE POSITION,,,MS2 TO SEJ-3001,,,,,,,
LT-3201,D-3201,GUIDED WAVE RADAR,,,D-3201,D-3201,Endress+Houser,FMP40-7KK2AEJB21JY,,7,73,
FT-3202,WASH GASOLINE TO D-3201,DIFF. PRESSURE,,,WASH GASOLINE TO D-3201,"2""HL 32020-A16A",Yokogawa,EJA110A,,12,75,
LG-3210,D-3202,LEVEL GAUGE,,,D-3202,,Magnetrol,XAAC-ACL2-2A0/050,,7,73,
PG-3206,D-3202 OVERHEAD,PRESSURE GAUGE,,,D-3202 OVERHEAD,"2""SCS 32019-A13A",WIKA,232.30.100+990.27,,7,73,
FIC-3206,CAUSTIC FROM P-2295 TO TK-3200,FLOW IMAGE TAG,,,CAUSTIC FROM P-2295 TO TK-3200,,,,,,,
LIC-3218,TK-3200,FLOW IMAGE TAG,,,TK-3200,,,,,,,
PCV-3201,T-3200 N2 INJECTION OVERHEAD,PCV,,,T-3200 N2 INJECTION OVERHEAD,"3/4""MN28014-A12X",SAMSON,41-23,,12,65,
LT-3218,TK-3200,HYDROSTATIC HEAD,,,TK-3200,,Yokogawa,EJA118W,,0.01,75,
PV-3221,C-3200A/B DSCH,GLOBE CONTROL VALVE,,,C-3200A/B DSCH,"1 1/2""PA 32052-D11T-H",SAMSON,3251,,49.5,190,
LT-3228,TK-3202,RADAR,,,TK-3202,,Endress+Houser,FMR230-44VAVJAC4Y,,0.15,75,
LG-3225,D-3206,LEVEL GAUGE,,,D-3206,,Magnetrol,XAAC-1CJ2-2A0/080,,11,65,
LG-3223C,TK-3202 INTERFACE,LEVEL GAUGE,,,TK-3202 INTERFACE,,Samil IND,STG-1IL,,0.15,75,
TG-3230,E-3200 OUTLET,TEMPERATURE GAUGE,,,E-3200 OUTLET,"4""SCS 32068-A16A",WIKA,S5550,,3.5,110,
LG-3226,D-3207,LEVEL GAUGE,,,D-3207,,Magnetrol,XAAC-ACL2-2A0/100,,3.5,75,
TZC-7205A,E-722 BYPASS,CONTROL VALVE POSITION,,,E-722 BYPASS,,,,,,,
LT-7203C,D-720,GUIDED WAVE RADAR,N,,D-720,,Endress+Houser,FMP45-7AKARJB21C4Y,,34,200,
PSV-7301,E-732 TS,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,1 D 2 JOS-E-SPL-35-J,,,,
FEV-7300,2ND STAGE REACTOR RECYCLE TO E-730,CONTROL VALVE POSITION,,,2ND STAGE REACTOR RECYCLE TO E-730,,ASCO,,,,,
XEV-7300,1ST STAGE RX EFFLUENT FROM E-720 TO E-730,CONTROL VALVE POSITION,Y,,1ST STAGE RX EFFLUENT FROM E-720 TO E-730,,ASCO,,,,,
PSV-7304A,R-730,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,,,,,
XZCL-7304,H2 FROM ORU TO R730,CONTROL VALVE POSITION,,,H2 FROM ORU TO R730,,,,,,,
XL-7321,R-730 OPEART./REGEN MODE SELECTION,OTHER IMAGE TAG,,,R-730 OPEART./REGEN MODE SELECTION,,,,,,,
TXAL-7312A,R-730 TOP INLET TEMP.,ANALYZER IMAGE TAG,,,R-730 TOP INLET TEMP.,,,,,,,
XA-P730A,P-730A AUTO. START / REMOTE STOP,MOTOR SIGNAL,,,P-730A AUTO. START / REMOTE STOP,,,,,,,
PIC-7305,E-731 OUTLET,FLOW IMAGE TAG,,,E-731 OUTLET,,,,,,,
LT-7301C,D-730,GUIDED WAVE RADAR,N,,D-730,,Endress+Houser,FMP45-7AKARJB21C4Y,,32,200,
AT-7501,1 STREAM GC,MAIN ANALYZER,N,,1 STREAM GC,,,,,,,
PDI-7503,T-750 BOT. DP(PT7501&7502),PRESSURE IMAGE TAG,,,T-750 BOT. DP(PT7501&7502),,,,,,,
AIC-7501,"T-750 TRAY #19, i-BUTENE",ANALYZER IMAGE TAG,,,"T-750 TRAY #19, i-BUTENE",,,,,,,
FZC-7500,QUENCH WTR FROM ORU TO E-755A,CONTROL VALVE POSITION,Y,,QUENCH WTR FROM ORU TO E-755A,,,,,,,
FZCL-7500,QUENCH WTR FROM ORU TO E-755A,CONTROL VALVE POSITION,,,QUENCH WTR FROM ORU TO E-755A,,,,,,,
PV-7500,CW RETURN FROM E-750A/B,BUTTERFLY CONTROL VALVE,Y,,CW RETURN FROM E-750A/B,"24""ICW 7501-A11A",,,,,,
TI-8005,R-800 GHU-1 REACTOR 1ST BED,ANALYZER IMAGE TAG,,,R-800 GHU-1 REACTOR 1ST BED,,,,,,,
PDT-8007,R800 GHU-1 REACTOR 1st BED,PRESSURE DIFFERENTIAL TRANSMITTER,Y,,R800 GHU-1 REACTOR 1st BED,"10""HM 8003-D51D-H-60",Yokogawa,EJA110A,,49.6,250,C
FV-8004,H2 MAKE-UP,GLOBE CONTROL VALVE,Y,,H2 MAKE-UP,"3""H 8004-D51A",SAMSON,3251-7,,49.6,114,B
TEV-8032A,R-800 UNPPER SIDE LINE,CONTROL VALVE POSITION,Y,,R-800 UNPPER SIDE LINE,,,,,,,C
FIC-8005,GHU-1 RECYCLE FEED FROM E-802,FLOW IMAGE TAG,,,GHU-1 RECYCLE FEED FROM E-802,,,,,,,
FV-8005,FROM GHU-1 TO E-800,GLOBE CONTROL VALVE,Y,,FROM GHU-1 TO E-800,"8""HL 8023-D51A",SAMSON,3251-1,,49.6,195,A
XZCL-8003,H2 MAKE-UP,CONTROL VALVE POSITION,,,H2 MAKE-UP,,,,,,,
TI-8017A,R-800 GHU-1 REACTOR,ANALYZER IMAGE TAG,,,R-800 GHU-1 REACTOR,,,,,,,
TT-8005B,R-800 GHU-1 REACTOR 1ST BED,TEMPERATURE TRANSMITTER,Y,,R-800 GHU-1 REACTOR 1ST BED,,Yokogawa,YTA320,,,,B
TT-8001C,R-800 GHU-1 REACTOR 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-800 GHU-1 REACTOR 2ND BED,,Yokogawa,YTA320,,,,B
TT-8022C,R-800 GHU-1 REACTOR 1ST BED,TEMPERATURE TRANSMITTER,Y,,R-800 GHU-1 REACTOR 1ST BED,,Yokogawa,YTA320,,,,B
PV-8013,GHU-1 LINE VENT TO D-835,GLOBE CONTROL VALVE,Y,,GHU-1 LINE VENT TO D-835,"3""HV 8003-B52K",SAMSON,3241-7,,29.2,160,B
RO-8001,D-801 UPPER SIDE SECONDARY LINE,RO,Y,,D-801 UPPER SIDE SECONDARY LINE,"8""HV 8005-B52A-P-30",Samil IND,SOP,,26.8,190,C
HV-8007,E-801 TO FLARE,BUTTERFLY CONTROL VALVE,Y,,E-801 TO FLARE,"6""HL 8010-B53A",VANESSA,VAN 30.000,,26.8,190,A
FT-718A,P-700A DISCHARGE,DIFF. PRESSURE,N,,P-700A DISCHARGE,"6""C4 7003-A13A",Yokogawa,EJA110A,,21,75,A
FV-705,C4 PRODUCT TO D-720,GLOBE CONTROL VALVE,Y,,C4 PRODUCT TO D-720,"4""C4 7003-B13A",SAMSON,241-7,,32.7,70,A
RO-905,DF HEADER SEAL,RO,Y,,DF HEADER SEAL,"3/4""MN 27044-A14A",,,,,,C
PSV-204B,Process Service (Normal)T-220 OVHD,PRESSURE SAFETY VALVE,Y,,Process Service (Normal)T-220 OVHD,"6"" HV 2025-A13A",Anderson Greenwood C,8 T2 10 JBS-E-SPL-15-J,,,,B
PG-946,PSV-940 BYPASS,PRESSURE GAUGE,,,PSV-940 BYPASS,"1""FG 9036-A31A-ST",WIKA,232.30.100,,5.5,90,
RO-940,FG TO FLARE,RO,Y,,FG TO FLARE,"3""WF 9402-A14A",,,,,,C
PG-948,FUEL IMPORT TO D-940,PRESSURE GAUGE,,,FUEL IMPORT TO D-940,"14""FG 9406-A13A",WIKA,232.30.100,,18,65,
LT-941,D-940,GUIDED WAVE RADAR,N,,D-940,,Endress+Houser,FMP40-7KK2AEJB21JY,,5.5,90,A
PV-941C,D-940 OVERHEAD,GLOBE CONTROL VALVE,,,D-940 OVERHEAD,"14""FG 9406-A13A",SAMSON,241-1,,18,65,
FEV-382,,CONTROL VALVE POSITION,,,,,,,,,,
PV-2196,ON HS HEADER,GLOBE CONTROL VALVE,,,ON HS HEADER,"8""HS 20052-A12A-H",SAMSON,Z-STYLE,,46.2,420,
PG-2203,L.P STEAM HEADER(LS2),PRESSURE GAUGE,,,L.P STEAM HEADER(LS2),"14""LS2 20050-A12A-H",WIKA,232.30.100,,6.8,170,
RO-2195,PV-2192 BY PASS,RO,,,PV-2192 BY PASS,"1""SS 20002-G11E-H",,,,,,
FT-2192,LOW PRESS. STM-1 HEADER,DIFF. PRESSURE,,,LOW PRESS. STM-1 HEADER,"20""LS1 20050-A14T-H",Yokogawa,EJA110A,,6.8,300,
TI-7616B,H-760 TUBE PATH TEMP.,ANALYZER IMAGE TAG,,,H-760 TUBE PATH TEMP.,,,,,,,
RO-7607,H-760  WET FLARE,RO,N,,H-760  WET FLARE,"3""WF 7614-D1A",,,,,,
XV-7645,H-760  REACTOR FEED TO R-760A/B,BUTTERFLY CONTROL VALVE,Y,,H-760  REACTOR FEED TO R-760A/B,"20""HV 7637-D1A-H",,,,,,
TI-7611,H-760,ANALYZER IMAGE TAG,,,H-760,,,,,,,
XZCL-7646,H-760  REACTOR FEED TO R-760A/B,CONTROL VALVE POSITION,,,H-760  REACTOR FEED TO R-760A/B,,,,,,,
XZT-7637,N2 PURGE BLOCK VALVETO H760 OUTLET,CONTROL VALVE POSITION,Y,,N2 PURGE BLOCK VALVETO H760 OUTLET,,,,,,,
XZI-7642,N2 PURGE BLOCK VALVE TO H760 INLET,ON-OFF VALVE POSITION,,,N2 PURGE BLOCK VALVE TO H760 INLET,,,,,,,
TXAL-7620A,H-760 OUTLET TEMP.,ANALYZER IMAGE TAG,,,H-760 OUTLET TEMP.,,,,,,,
RO-7608A,DEPRESS. GAS TO ORU FROM R-760A,RO,N,,DEPRESS. GAS TO ORU FROM R-760A,"2""HV 7645-D54E-P",,,,,,
TE-7626B,R-760B LOWER BED MID TEMP.,THERMOCOUPLE,Y,,R-760B LOWER BED MID TEMP.,,YAMARI,MTLB/MFX,,36,600,
TI-7632,E-771 SHELL SIDE OUTLET,ANALYZER IMAGE TAG,,,E-771 SHELL SIDE OUTLET,,,,,,,
TI-7633,HP ETHYLENE FROM BL TO E-762,ANALYZER IMAGE TAG,,,HP ETHYLENE FROM BL TO E-762,,,,,,,
XEV-7655,TOTAL C2 FEED TO M-761A/B,ON-OFF VALVE POSITION,Y,,TOTAL C2 FEED TO M-761A/B,,SAMSON,,,,,
FZC-7615,HP ETHYLENE FROM BL TO E-762,CONTROL VALVE POSITION,Y,,HP ETHYLENE FROM BL TO E-762,,,,,,,
FZC-7614,ETHYLENE FROM P770A/B TO E-762,CONTROL VALVE POSITION,Y,,ETHYLENE FROM P770A/B TO E-762,,,,,,,
FIC-7610,H2 FR. ORU TO H-761,FLOW IMAGE TAG,,,H2 FR. ORU TO H-761,,,,,,,
FT-7610,H2 FR. ORU TO H-761,VORTEX,,,H2 FR. ORU TO H-761,"2""H 7203-B24A",ROSEMOUNT,8800DF010SA3N1D1E1M5R40T1Q4,,,,
FZC-7609A,PLANT AIR TO H-761,CONTROL VALVE POSITION,Y,,PLANT AIR TO H-761,,,,,,,
TT-737,E-701 S/S OUTLET,TEMPERATURE TRANSMITTER,Y,,E-701 S/S OUTLET,"6""PG 7005-A13A",Yokogawa,YTA320-EA2DD,,,,A
FIC-719,P-701A/B DISCH.,FLOW IMAGE TAG,,,P-701A/B DISCH.,,,,,,,
PSV-204M,Process Service (Normal)T-220 OVHD,PRESSURE SAFETY VALVE,Y,,Process Service (Normal)T-220 OVHD,"8"" HV 2021-A13A",Anderson Greenwood C,6 R 8 JBS-E-SPL-15-J,,,,B
PSV-204D,Process Service (Normal)T-220 OVHD,PRESSURE SAFETY VALVE,Y,,Process Service (Normal)T-220 OVHD,"6"" HV 2025 A13A",Anderson Greenwood C,8 T2 10 JBS-E-SPL-15-J,,,,B
FEV-952,FLARE FROM C2 TRAIN,CONTROL VALVE POSITION,,,FLARE FROM C2 TRAIN,,,,,,,
PT-395C,TAIL GAS RETURN PTTAR (U/S SHUT OFF VALVE),PRESSURE TRANSMITTER,,,TAIL GAS RETURN PTTAR (U/S SHUT OFF VALVE),"1.1/2"" HV M3820-B13A",Yokogawa,EJA430A-EBS4B-87DB/D4/KU2/A/M11/X1,,42.8,65,
PSV-2023C,Steam and Condensate Systems / LP Steam-1 Header,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / LP Steam-1 Header,"8"" LS1 20069-A14T",Anderson Greenwood C,8 T 10 JOS-H-E-SPL-35-C,,,,B
PSV-2023B,Steam and Condensate Systems / LP Steam-1 Header,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / LP Steam-1 Header,"8"" LS1 20068-A14T",Anderson Greenwood C,8 T 10 JOS-H-E-SPL-35-C,,,,C
FI-2194,DSH-2005 OUTLET,ANALYZER IMAGE TAG,,,DSH-2005 OUTLET,,,,,,,
PT-2195,ON LS2 HEADER,PRESSURE TRANSMITTER,,,ON LS2 HEADER,"14""LS2 20053-A12A-H",Yokogawa,EJA310A,,6.8,170,
FI-361,HIGH PRESS STM  EXT./ADMISSION,ANALYZER IMAGE TAG,,,HIGH PRESS STM  EXT./ADMISSION,,,,,,,
TT-371,HIGH PRESS STM  EXT./ADMISSION,TEMPERATURE TRANSMITTER,,,HIGH PRESS STM  EXT./ADMISSION,"20""HS 3001-D11T-H",Yokogawa,YTA320-EA2DD,,,,
HZOL-361,HIGH PRESSURE STEAM TO PT-305A,CONTROL VALVE POSITION,,,HIGH PRESSURE STEAM TO PT-305A,,,,,,,
PI-8014,D-801 TO E-801,ANALYZER IMAGE TAG,,,,,,,,,,
XZCL-8004,P-801 A/B OUTLET,CONTROL VALVE POSITION,,,P-801 A/B OUTLET,,,,,,,
XZOL-8004,P-801 A/B OUTLET,CONTROL VALVE POSITION,,,P-801 A/B OUTLET,,,,,,,
HZC-8006,D-802 TO D-835,CONTROL VALVE POSITION,Y,,D-802 TO D-835,,,,,,,C
PG-8010,D-802 OVHD TO FLARE,PRESSURE GAUGE,N,,D-802 OVHD TO FLARE,"3""WF 8026-B52A",WIKA,232.30.100,,29.2,160,C
LG-8006A,D-801 HOT SEPARATOR DRUM,LEVEL GAUGE,N,,D-801 HOT SEPARATOR DRUM,,ORION(Magnetrol),XABA-ACL2-2AY/240,,26.8,190,C
FIC-8105,C5 CUT TO OCU,FLOW IMAGE TAG,,,C5 CUT TO OCU,,,,,,,
TI-8100,T-810,ANALYZER IMAGE TAG,,,T-810,,,,,,,
LT-8100,D-815 CONDENSATE POT FOR E-815,GUIDED WAVE RADAR,N,,D-815 CONDENSATE POT FOR E-815,,Endress+Houser,FMP45,,16,350,B
FT-8103,MS2 TO E-815,VORTEX,N,,MS2 TO E-815,"10""MS2 8100-B12T-H-70",EMERSON ROSEMOUNT,8800DF,,16,350,B
XEV-8100,MS2 TO E-815,CONTROL VALVE POSITION,N,,MS2 TO E-815,,,,,,,C
FIC-8100,DEPENTANZER BOTTOM TO T-820,FLOW IMAGE TAG,,,DEPENTANZER BOTTOM TO T-820,,,,,,,
TT-8105,E-815 LOWER LEFT REVERSIBLE BLIND LINE,TEMPERATURE TRANSMITTER,N,,E-815 LOWER LEFT REVERSIBLE BLIND LINE,"14""HL 8109-A53A-H-80",Yokogawa,YTA320,,,,B
PT-8109B,T-810 DEPENTANIZER TOWER,PRESSURE TRANSMITTER,Y,,T-810 DEPENTANIZER TOWER,,Yokogawa,EJX310A,,7.6,205,B
PT-8109C,T-810 DEPENTANIZER TOWER,PRESSURE TRANSMITTER,Y,,T-810 DEPENTANIZER TOWER,,Yokogawa,EJX310A,,7.6,205,B
FV-8108,P-810A/B MIN. FLOW,GLOBE CONTROL VALVE,Y,,P-810A/B MIN. FLOW,"4""HL 8124-A54A",SAMSON,3241-1,,16,85,A
LG-654,E-646 SHELL SIDE,LEVEL GAUGE,N,,E-646 SHELL SIDE,,Magnetrol,XABC-ACL2-2A0/250,,21,79,C
QY-602,FUNCTION BLOCK,FLOW IMAGE TAG,,,FUNCTION BLOCK,,,,,,,
FV-635,E-646 S/S INLET,GLOBE CONTROL VALVE,N,,E-646 S/S INLET,"14""HL 6049-B13A",SAMSON,241-1,,23,80,A
XZCL-605,E-645 QW FEED,CONTROL VALVE POSITION,,,E-645 QW FEED,,,,,,,
TI-629,T-640 OVERHEAD,ANALYZER IMAGE TAG,,,T-640 OVERHEAD,,,,,,,
HZCL-607,HV-607 CLOSE,CONTROL VALVE POSITION,,,HV-607 CLOSE,,,,,,,
PDI-625,T-641 DIFF. PRESSURE,PRESSURE IMAGE TAG,,,T-641 DIFF. PRESSURE,,,,,,,
LT-658,D-640,GUIDED WAVE RADAR,N,,D-640,,Endress+Houser,FMP40-7KK2AFJB21JY,,20,75,A
PSV-677,Process Service (Normal) P-640A-C Discharge,PRESSURE SAFETY VALVE,Y,,Process Service (Normal) P-640A-C Discharge,"3/4"" HL 6106-B13A",Anderson Greenwood C,9611112A/SPL,,,,B
LT-615,D-640,HYDROSTATIC HEAD,N,,D-640,,Yokogawa,EJA110A,,20,75,A
PG-633,P-643 DISCHARGE,PRESSURE GAUGE,N,,P-643 DISCHARGE,"2""HL 6057-B13A",WIKA,233.30.100,,28,80,C
FT-620,E-641 PROPYLENE VENT,ROTAMETER,N,,E-641 PROPYLENE VENT,"1-1/2""HV 6047-A13A",KROHNE,H250/RR/M10/EEx,,20,75,A
TW-637A,E-640A/B SHELL SIDE OUTLET,THERMOWELL,N,,E-640A/B SHELL SIDE OUTLET,"14""HM 6012/13-B13A",WIKA,TW10,,20,75,C
FEV-620,E-641 PROPYLENE VENT,CONTROL VALVE POSITION,Y,,E-641 PROPYLENE VENT,,,,,,,C
PV-626A,D-640 VENT TO FLARE,GLOBE CONTROL VALVE,Y,,D-640 VENT TO FLARE,"4""HV 6042-B13A",SAMSON,241-7,,20.7,80,A
FV-7600,COLD REGEN GAS FROM ORU,BUTTERFLY CONTROL VALVE,Y,,COLD REGEN GAS FROM ORU,"8""HV 3114-A1J",,,,,,
PIC-7600,M-760A TO WET FLARE,FLOW IMAGE TAG,,,M-760A TO WET FLARE,,,,,,,
XZO-7661,DEPRESSURE GAS FR. M-760A TO REGEN,CONTROL VALVE POSITION,Y,,DEPRESSURE GAS FR. M-760A TO REGEN,,WESTLOCK,2249-BY-00-2200-00,,,,
AT-7600A,6 STREAM GC,MAIN ANALYZER,,,6 STREAM GC,,,,,,,
PT-7809A,OCU C4 FEED TO M-760A,PRESSURE TRANSMITTER,Y,,OCU C4 FEED TO M-760A,"8""HL 7518-A13A",Yokogawa,EJX430A,,11,95,
PT-7809C,OCU C4 FEED TO M-760A,PRESSURE TRANSMITTER,Y,,OCU C4 FEED TO M-760A,"8""HL 7518-A13A",Yokogawa,EJX430A,,11,95,
PV-7604A,0,GLOBE CONTROL VALVE,,,,,,,,,,
PT-7602B,N-BUTANE TO M-760B,PRESSURE TRANSMITTER,Y,,N-BUTANE TO M-760B,"12""HL 7644-A1J-H",Yokogawa,EJA430A,,11,70,
XZCL-7600B,OCU C4 FEED TO M-760B,CONTROL VALVE POSITION,,,OCU C4 FEED TO M-760B,,,,,,,
XV-7602B,OCU C4 FEED TO M-760B,BALL CONTROL VALVE,Y,,OCU C4 FEED TO M-760B,"1 1/2""HL 7603-A1J",KTM,,,,,
XV-7616B,PRESSURIZING GAS FROM ORU TO M-760B,BALL CONTROL VALVE,Y,,PRESSURIZING GAS FROM ORU TO M-760B,"1 1/2""HV 7680-A1J-H",KTM,,,,,
HS-7606B,HOT  REGEN. GAS TO M-760B,OTHER IMAGE TAG,,,HOT  REGEN. GAS TO M-760B,,,,,,,
XV-7606B,HOT  REGEN. GAS TO M-760B,BUTTERFLY CONTROL VALVE,Y,,HOT  REGEN. GAS TO M-760B,"12""HV 7601-A1J-H",,,,,,
XEV-7606B,HOT  REGEN. GAS TO M-760B,CONTROL VALVE POSITION,Y,,HOT  REGEN. GAS TO M-760B,,ASCO,,,,,
XZC-7604B,TREATED C4 FEED TO F-760A/B,CONTROL VALVE POSITION,Y,,TREATED C4 FEED TO F-760A/B,,WESTLOCK,2249-BY-00-2200-00,,,,
XZCL-7603B,TREATED C4 FEED TO F-760A/B,CONTROL VALVE POSITION,,,TREATED C4 FEED TO F-760A/B,,,,,,,
TXAL-7643C,H-761 OUTLET,ANALYZER IMAGE TAG,,,H-761 OUTLET,,,,,,,
PV-7640,PILOT GAS TO H-761 BURNER,GLOBE CONTROL VALVE,Y,,PILOT GAS TO H-761 BURNER,"3/4""FG 7603-A13A-ST",SAMSON,241-7,,,,
FQI-7612,FUEL GAS TO H-761 BURNER,FLOW IMAGE TAG,,,FUEL GAS TO H-761 BURNER,,,,,,,
XZC-7659,PILOT GAS TO H-761 BURNER,CONTROL VALVE POSITION,Y,,PILOT GAS TO H-761 BURNER,,WESTLOCK,2249-BY-00-2200-00,,,,
XZC-7658,FUEL GAS TO H-761 BURNER,CONTROL VALVE POSITION,Y,,FUEL GAS TO H-761 BURNER,,WESTLOCK,2249-BY-00-2200-00,,,,
QV-7613,FUEL GAS TO REGEN HEATER,GLOBE CONTROL VALVE,Y,,FUEL GAS TO REGEN HEATER,"1 1/2""FG 7601-A13A-ST",SAMSON,241-7,,,,
PT-7638B,FUEL GAS TO H-761 BURNER PRESS.,PRESSURE TRANSMITTER,Y,,FUEL GAS TO H-761 BURNER PRESS.,"1 1/2""FG 7601-A13A-ST",Yokogawa,EJX430A,,5.5,60,
PT-7638C,FUEL GAS TO H-761 BURNER PRESS.,PRESSURE TRANSMITTER,Y,,FUEL GAS TO H-761 BURNER PRESS.,"1 1/2""FG 7601-A13A-ST",Yokogawa,EJX430A,,5.5,60,
XEV-7702,LP CONDENSATE FROM D-775,ON-OFF VALVE POSITION,Y,,LP CONDENSATE FROM D-775,,SAMSON,,,,,
XZT-7702,LP CONDENSATE FROM D-775,CONTROL VALVE POSITION,Y,,LP CONDENSATE FROM D-775,,,,,,,
LIC-7703,D-775,FLOW IMAGE TAG,,,D-775,,,,,,,
TI-7705,T-770 TRAY#26,ANALYZER IMAGE TAG,,,T-770 TRAY#26,,,,,,,
FZCL-7700,LP STEAM TO E-775,CONTROL VALVE POSITION,,,LP STEAM TO E-775,,,,,,,
LG-7702,D-775,LEVEL GAUGE,N,,D-775,,Magnetrol,XABC-ACL2-2A0/080,,28.6,300,
XEV-7701,LP CONDENSATE FROM D-775,ON-OFF VALVE POSITION,Y,,LP CONDENSATE FROM D-775,,SAMSON,,,,,
HV-7701,D-770 TO WET FLARE,GLOBE CONTROL VALVE,Y,,D-770 TO WET FLARE,"2""HV 7705-B13K-C",SAMSON,241-7,,,,
HS-7622B,XV-7622B OPEN/CLOSE,OTHER IMAGE TAG,,,XV-7622B OPEN/CLOSE,,,,,,,
XZOL-7626B,REGEN. GAS TO M-761B,CONTROL VALVE POSITION,,,REGEN. GAS TO M-761B,,,,,,,
XZO-7621B,ETHYLENE FEED FROM E-762,CONTROL VALVE POSITION,Y,,ETHYLENE FEED FROM E-762,,WESTLOCK,2249-BY-00-2200-00,,,,
XZCL-7624B,TREATED C2 FEED TO F-761A/B FR. M-761B,CONTROL VALVE POSITION,,,TREATED C2 FEED TO F-761A/B FR. M-761B,,,,,,,
RO-7604,REACTOR EFFLUENT TO WET FLARE,RO,N,,REACTOR EFFLUENT TO WET FLARE,"3""WF 7608-D1A",,,,,,
PSV-7605,E-763 SS,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,3 K 4 JBS-E-SPL-15-J,,,,
XV-7647,H-760  WET FLARE,BUTTERFLY CONTROL VALVE,Y,,H-760  WET FLARE,"8""WF 7614-D1A-H",,,,,,
XV-7642,N2 PURGE BLOCK VALVE TO H760 INLET,BALL CONTROL VALVE,Y,,N2 PURGE BLOCK VALVE TO H760 INLET,"3""MN 7606-D1A-H",KTM,,,,,
XZOL-7642,N2 PURGE BLOCK VALVE TO H760 INLET,CONTROL VALVE POSITION,,,N2 PURGE BLOCK VALVE TO H760 INLET,,,,,,,
TT-7661B,H-760 TUBE PATH TEMP.,TEMPERATURE TRANSMITTER,Y,,H-760 TUBE PATH TEMP.,,Yokogawa,YTA320-EA2DB,,,,
TI-7662A,H-760 TUBE PATH TEMP.,ANALYZER IMAGE TAG,,,H-760 TUBE PATH TEMP.,,,,,,,
XV-7640,OCT REACTOR FEED TO H-760,BUTTERFLY CONTROL VALVE,Y,,OCT REACTOR FEED TO H-760,"20""HV 7634-D1A-H",,,,,,
PT-7629B,R-760B EFFLUENT TO E-760,PRESSURE TRANSMITTER,Y,,R-760B EFFLUENT TO E-760,"20""HV 7646-D54E-F",Yokogawa,EJX430A,,36,400,
PV-7630,E-771 OUT EFFLUENT TO T-770,GLOBE CONTROL VALVE,Y,,E-771 OUT EFFLUENT TO T-770,"6""HL 7623-B11Q-D",SAMSON,241-7,,,,
FV-7615,HP ETHYLENE FROM BL TO E-762,GLOBE CONTROL VALVE,Y,,HP ETHYLENE FROM BL TO E-762,"3""HV 7654-B11Q",SAMSON,241-7,,,,
FV-7614,ETHYLENE FROM P770A/B TO E-762,GLOBE CONTROL VALVE,Y,,ETHYLENE FROM P770A/B TO E-762,"4""HL 7709-B11Q-C",SAMSON,,,,,
PSV-535A,Process Service (Normal) / E-522A Shell Inlet,PRESSURE SAFETY VALVE,Y,,Process Service (Normal) / E-522A Shell Inlet,"1-1/2"" HV 5086-B13A",Anderson Greenwood C,1 1/2 G 3 JOS-E-SPL-35-J,,,,B
TV-510A,E-522A S/S OUTLET,BUTTERFLY CONTROL VALVE,Y,,E-522A S/S OUTLET,"12""HV 5015-B13A-H",LEUSCH,LTR43,,26.4,240,A
TI-569A,E-523A S/S INLET,ANALYZER IMAGE TAG,,,E-523A S/S INLET,,,,,,,
TV-511A,E-523A S/S OUTLET,BUTTERFLY CONTROL VALVE,Y,,E-523A S/S OUTLET,"12""HV 5015-B13A-H",LEUSCH,LTR43,,26.4,240,A
XZCL-502A,FROM Z-440 TO R-520A/B,CONTROL VALVE POSITION,,,FROM Z-440 TO R-520A/B,,,,,,,
FIC-509B,H2 TO R-520B 2ND BED,FLOW IMAGE TAG,,,H2 TO R-520B 2ND BED,,,,,,,
XZT-502A,FROM Z-440 TO R-520A/B,CONTROL VALVE POSITION,Y,,FROM Z-440 TO R-520A/B,,,,,,,C
TT-572A,E-523A S/S INLET,TEMPERATURE TRANSMITTER,Y,,E-523A S/S INLET,,Yokogawa,YTA320-EA2DD,,,,A
XZCL-504B,R-520A/B OUTLET TO E-524,CONTROL VALVE POSITION,,,R-520A/B OUTLET TO E-524,,,,,,,
XZOL-504B,R-520A/B OUTLET TO E-524,CONTROL VALVE POSITION,,,R-520A/B OUTLET TO E-524,,,,,,,
XZI-502A,FROM Z-440 TO R-520A/B,ON-OFF VALVE POSITION,,,FROM Z-440 TO R-520A/B,,,,,,,
AT-502D,ACETYLENE CONVERTER CONTROL,MAIN ANALYZER,N,,ACETYLENE CONVERTER CONTROL,"18""HV 5006-B11Q-H",,,,,,A
HV-520B,E-522A EFFLUENT,BUTTERFLY CONTROL VALVE,Y,,E-522A EFFLUENT,"14""HV 5014-B13A-H",LEUSCH,LTR43,,26.4,240,B
