Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
HS-R520-SD1,IMAGE TAG FOR LOOP,LOCAL PANEL,,,IMAGE TAG FOR LOOP,,,,,,,
HS-R620-SD1,IMAGE TAG FOR LOOP,LOCAL PANEL,,,IMAGE TAG FOR LOOP,,,,,,,
HS-R620SD2-2,R-620A ISOLATE/DEPRESSURE SHUTDOWN 2,LOCAL PANEL,,,R-620A ISOLATE/DEPRESSURE SHUTDOWN 2,,,,,,,
HS-R760A-SDA3,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",LOCAL PANEL,,,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",,,,,,,
LT-1611A,CRACKER BOTTOM TANK TK-1610A LEVEL & MULTI TEMP.,RADAR,Y,,CRACKER BOTTOM TANK TK-1610A LEVEL & MULTI TEMP.,,Rosemount,RTG3900-ABRSA0R01CE10RS-50S3A1000-AC,,,,A
LT-1615,CRACKER BOTTOM DRAIN DRUM D-1610,GUIDED WAVE RADAR,Y,,CRACKER BOTTOM DRAIN DRUM D-1610,,Magnetrol (Note 6),706-512A-A10 (Note 6),,12,200,A
LT-2051B-A,STEAM DRUM BOILER B,MAGNETOSTRICTIVE,Y,,,,,,,,,A
LT-301B-Y,D-301 LEVEL,LEVEL IMAGE TAG,,,D-301 LEVEL,,,,,,,
LT-301C-Y,D-301 LEVEL,LEVEL IMAGE TAG,,,D-301 LEVEL,,,,,,,
LT-305B-1,D-302,LEVEL IMAGE TAG,,,D-302,,,,,,,
LT-3061,OIL DRAIN SUMP ( PIT-3061 ),RADAR,Y,,OIL DRAIN SUMP ( PIT-3061 ),,Endress+Houser,FMR240-45V1APJAC4Y,,3.5,65,A
LT-318A-Y,D-305 LEVEL,LEVEL IMAGE TAG,,,D-305 LEVEL,,,,,,,
LT-3360,DECANTED WATER PIT    ( PIT-3360 ),DISPLACER,Y,,DECANTED WATER PIT    ( PIT-3360 ),,Endress+Houser,FMP40-7KK2APJB21JY,,1.04,29,B
LT-520C-1,D-561 LEVEL,LEVEL IMAGE TAG,,,D-561 LEVEL,,,,,,,
LT-521A-Z,D-562 LEVEL,LEVEL IMAGE TAG,,,D-562 LEVEL,,,,,,,
