Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"3""LS1 20043-A14T-H",,,,A14T,,,"20-2000B
20-2900",LS1,,,"3""",,,
"12""HS 20023-D11T-H",,,,D11T,,,20-2000B,HS,46.2,420,"12""",4,200,
"16""MS2 20014-B12T-H",,,,B12T,,,20-2000B,MS2,7,300,"16""",4,200,
"8""E 12014-B11Q-C",,,,B11Q,,,20-1700A,E,21 kgf/cm^2,65 C,"8""",18kgf/cm^2,40 C,
"8""E 12014-B11Q-C",,,,B11Q,H-7/D-1,,29RE4011-01200A/1700A,Liquid,,,"8""",-45/65,,SPOT
"3""BU 17003-B13A",,,,B13A,LIQ,,20-1700A,BU,11.0,65.0,"3""",7.0,30.0,
"2""H 17003-B24A",,,,B24A,,,20-1700A,H,,,"2""",,,
"6""E 12024-D21Q-C",,,,D21Q,,,20-1700A,E,21 kgf/cm^2,65 C,"6""",18kgf/cm^2,40 C,
"8""C4 17007-B13A",,,,B13A,,,20-1700A,C4,21.0 kgf/cm^2,65C,"8""",18kgf/cm^2,40 C,
"3""HL A8901-A51A",,,,A51A,,,24-0890A,HL,,,"3""",,,
"3""BFW 20024-B12A-H",,,,B12A,,,"20-2000A
20-2000C",BFW,,,"3""",,,
"2""SSC 22115-A12A-P",,,,A12A,,,20-2000A,SSC,,,"2""",,,
"6""LC1 20010-A12A-H",,,,A12A,,,20-2000A,LC1,,,"6""",,,
"24""HS 20004-D11T-H",,,,D11T,,,"20-2000B
20-2000F",HS,46.2,420,"24""",4,200,
"8""HS 20013-D11T-H",,,,D11T,,,20-2000B,HS,7,300,"8""",4,200,
"3/4""AM 20214-11-A14K",,,,150#,10,,20-2000C,AM,10,65,"3/4""",6,36,
"10""V 20003-11-A14T-P",,,,150#,7,,20-2000C,V,7,300,"10""",2,200,
"8""SSC 22003-A12A",,,,A12A,,,20CT4011-02200F,SSC,,,"8""",,8,
"6""TW A30001-A24Z",,,,A24Z,,,20-2000A,TW,,,"6""",,,
"4""MS2 20015-B12T-H",,,,B12T,,,20-2000B,MS2,,,"4""",,,
"20""LS1 20046-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"20""",4,200,
"20""LS1 20001-A14T-H",,,,A14T,,,"20-2000B
20-2900",LS1,6.80 kgf/cm^2,300 C,"20""",,,
"14""LS1 20039-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"14""",4,200,
"16""MS1 20003-B12T-H",,,,B12T,,,20-2000B,MS1,,,"16""",,,
"14""LS1 20047-A14T-H",,,,A14T,,,20-2000B,LS1,,,"14""",,,
"3/4""AM 20213-10-A14K",,,,150#,10,,20-2000J,AM,10,65,"3/4""",6,36,
"12""CW 22001-A11A",,,,A11A,,,20CT4011-02200F,CW,,,"12""",,12,
"3/4""D 20016-16-A12A",,,,150#,8,,20-2000C,V,8,180,"2""",4,147,
"6""LC2 20018-10-A12A-P",,,,150#,6.8,,20-2000D,LC2,6.8,170,"6""",1.6,133,
"3/4""HC 20565-29-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"3/4""HC 20565-21-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"1-1/2""LC1 20213-33-A11A-P",,,,150#,7,,20-2000E,LC1,7,300,"1-1/2""",4,200,
"3/4""HC 20564-44-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"4""E 12009-A11Q",,,,A11Q,,,20-1700A,E,21 kgf/cm^2,65C,"4""",18kgf/cm^2,40C,
"2""FG 17015-A13A-ST",,,,A13A,,,"20-2600A
20-1700A",FG,,,"2""",,,
"12""FG 17009-B13A",,,,B13A,,,20-1700A,FG,,,"12""",,,
"8""PR 17014-B13A",,,,B13A,,,20-1700A,PR,21.0 kgf/cm^2,65C,"8""",18kgf/cm^2,40 C,
"8""PR 17014-B13A",,,,B13A,Liquid,,29RE4011-01700A,Propylene,,,"8""",0-34.5,15-40,-  SPOT
"8""PR 17004-B13A",,,,B13A,,,20-1700A,PR,,,"8""",,,
"4""E 17008-B13A",,,,B13A,,,20-1700A,E,,,"4""",,,
"6""H 17001-B24A",,,,B24A,,,20-1700A,H,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""HL 15008-B51A",,,,B51A,Liquid,,29RE4011-01500A/01700A,Hydrocarbon Liquid,,,"6""",0-28,15-40,-
"10""NAP 10018-B13A",,,,B13A,,,20-1700A,NAP,21.0 kgf/cm^2,65C,"10""",18kgf/cm^2,40 C,
"3""PG 15006-A13A",,,,A13A,,,20-1700A,PG,,,"3""",,,
