Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"6"" AFW 40043-A11A",,,,A11A,FM-WE-5-016,,Air Foam,8.5,,,"6""",50,22.5,N/A
"6"" AFW 41016-A11A",,,,A11A,TK-1010B Foam Chamber,,Air Foam,7,,,"6""",50,22.5,N/A
"6"" AFW 41018-A11A",,,,A11A,TK-1010B Foam Chamber,,Air Foam,7,,,"6""",50,22.5,N/A
"6""C4 14013-A13A",,,,A13A,Liquid,,29RE4011-01400,Raw C4/Iso Butylene,,,"6""",0-18,15-40,-
"6""C4 14015-A13A",,,,A13A,,,29RE4011-01400/01700A,C4,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40C,
"6""CKB 16030-A13A-ST",,,,A13A,Liquid,,29RE4011-01600,Cracker Bottom,,,"6""",0-8,80,-
"6""DWW 17004-A12A",,,,A12A,Liquid,,29RE4011-01700B,Domestic Water,,,"6""",0-4,15-40,
"6""HL 15009-B51A",,,,B51A,,,29RE4011-01500A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""HL 15009-B51A",,,,B51A,Liquid,,29RE4011-01500A,Hydrocarbon Liquid,,,"6""",0-25.5,15-40,-
"6""HL 15014-A51A",,,,A51A,Liquid,,29RE4011-01500A,Hydrocarbon Liquid,,,"6""",0-10,15-40,-
"6""ME 12005-B13K",,,,B13K,Liquid,,29RE4011-01200B,Methanol,,,"6""",0-18,15-40,-
"6""PG 15008-A13A",,,,A13A,Liquid,,29RE4011-01500A,Pyrolysis Gasoline,,,"6""",0-12,15-40,-
"6""PR 13014-B13A",,,,B13A,Liquid,,29RE4011-01300,Propylene,,,"6""",0-18,15-40,-
"6""PR 13090-A13A",,,,A13A,Liquid,,29RE4011-01300/1400,Propylene,,,"6""",0-8,15-40,-  SPOT
"8"" AFW 40026-A11A",,,,A11A,FM-NS-6A-006,,Air Foam,8.5,,,"8""",50,22.5,N/A
"8"" FW 41010-A12X",,,,A12X,"3""FW 41023/6""FW 41024",,Fire Water,8.5,,,"8""",50,22.5,N/A
"3/4""HV 8108-A53A-H40",,,,A53A,Vapor,C,24HE4011-0810A,HV,8.0,205,1 1/2,5.9,175,40
"3/4""HV 8409-B52A",,,,B52A,,,24HE4011-0840A,HV,16.3,200,"3/4""",,,
"3/4""HV 8603-A51A-T140",,,,A51A,Vapor,C,24HE4011-0860B,HV,9.1,250,1 1/2,5.0,164,40
"3/4""HV 8607-A51A",,,,A56A,Vapor,C,24HE4011-0860D,HV,9.0,250,3/4,4.0,50,-
"3/4""HV 8607-A56A",,,,A51A,Vapor,C,24HE4011-0860D,HV,3.5,250,3/4,0.1,AMB,-
"3/4""HV 8705-B53T-T140",,,,B53T,Vapor,C,24HE4011-0870A,HV,3.5,250,1 1/2,-0.32,175,40
"3/4""HV 8709-A51A",,,,A51A,,,24HE4011-0870B,HV,3.5,250,"3/4""",,,
"3/4""HV 8904-A51A",,,,A51A,Vapor,C,24HE4011-0890B,HV,3.5,250,3,0.4,111.8,30
"3/4""LC1 1601-A14T-H40",,,,A12A,Liquid,B,24HE4011-2000B,LC1,6.8,180,3/4,2.0,133,40
"3/4""LC1 1605-A14T-H40",,,,A12A,Liquid,B,24HE4011-2000B,LC1,6.8,180,3/4,2.0,133,40
"3/4""LC1 1617-A14T-H40",,,,A12A,Liquid,B,24HE4011-2000B,LC1,6.8,180,3/4,2.0,133,40
"3/4""LC1 1646-A14T-H40",,,,A12A,Liquid,B,24HE4011-2000B,LC1,6.8,180,3/4,2.0,133,40
"8""HL 8710-A51A-T140",,,,A51A,Liquid,C,24HE4011-0870B,HL,3.5,250,1,-0.27,40,40
"8""HL 8833-A51A",,,,A51A,,,24HE4011-0880B,HL,3.5,250,"8""",,,
"8""HV 8012-B52A",,,,B52A,,,24HE4011-0800C,HV,3.5,250,"8""",,,
"8""HV 8013-B52A",,,,B52A,Liquid,B,24HE4011-0800C,HV,26.8,190,8,24.4,158,30
"8""HV 8312-B52A",,,,B52A,,,24HE4011-0830C,HV,34.8,115,"8""",,,
"8""HV 8312-B52A",,,,B52A,Vapor,B,24HE4011-0830C,HV,34.8,115,6,31.6,77,30
"8""HV 8406-A52Q",,,,A52Q,,,24HE4011-0840A,HV,6.6,145,"8""",,,
"8""LF 9609-A14A-P30",,,,A14A,Vapor,C,24HE4011-0960A,LF,3.5,250,8,0.2,150,-
"8""LF 9610-A14A",,,,A14A,,,24HE4011-0960A,LF,3.5,250,"8""",,,
"8""RCW 8809-A11A",,,,A11A,,,24HE4011-0880B,RCW,8,75,"8""",,,
"8""S 8770-B53T-T140",,,,A56A,Liquid,B,24HE4011-0870F,S,12.0,90,8,0.02,40,40
"10""PSC 22031-CSRL",,,,CSRL,,,20CT4011-02200F,PSC,,,"10""",,10,
"4""PSC 22039-A14K",,,,A14K,,,20CT4011-02200G,PSC,,,"4""",,4,
"6""DW 22006-A14K",,,,A14K,,,20CT4011-02200D,DW,,,"6""",,6,
"2""LF 9608-A14A",,,,A12X,Vapor,-,24HE4011-0960A,LF,12,65,2,1.5,AMB,-
"2""LLN 8787-A14A",,,,A14A,,,24HE4011-0870G,LLN,3.5,250,"2""",,,
"2""LS1 1630-A14T-H40",,,,A14T,Vapor,C,24HE4011-2000B,LS1,6.8,300,3/4,4.0,200,40
"2""MN 8300-B52D",,,,A12X,Vapor,-,24HE4011-0830A,MN,12.0,65,2,8.0,AMB,-
"2""MN 8308-B52A-H40",,,,B52A,Vapor,B,24HE4011-0830C,MN,34.8,115,2,31.6,77,-
"2""MS2 20723-B12T",,,,B12T,,,24HE4011-2000A,MS2,12.5,75,"2""",,,
"2""OWS 8001-A51Z",,,,A51A,Liquid,C,24HE4011-0800A,OWS,3.5,250,2,0.1,AMB,-
"2""OWS 8012-A51Z",,,,A53A,Liquid,B,24HE4011-0800A,OWS,3.9,114,3/4,1.9,40,-
"2""OWS 8101-A51Z",,,,A51A,Liquid,C,24HE4011-0810B,OWS,3.5,250,2,0.1,AMB,-
"2""OWS 8101-A54A",,,,A51Z,Liquid,-,24HE4011-0810B,OWS,3.5,250,2,0.1,AMB,-
"2""OWS 8501-A51A",,,,A51A,,,24HE4011-0850B,OWS,3.5,250,"2""",,,
"2""OWS 8502-A51A",,,,B54T,Liquid,C,24HE4011-0850A,OWS,3.5,250,3,1.44,214,30
"8"" FW 41043-A12X",,,,A12X,"3"" FW 41035/6"" FW 41036",,Fire Water,8.5,,,"8""",50,22.5,N/A
"8"" FW 41211-A12X",,,,A12X,TK-1210C FW Riser,,Fire Water,7,,,"8""",50,22.5,N/A
"8"" FW 41603-A12X",,,,A12X,"3"" FW 41601-A12X / 4"" FW 41602",,Fire Water,7,,,"8""",50,22.5,N/A
"8""C4 14016-A13A",,,,A13A,Vapor,,29RE4011-01400,Raw C4 Vapor,,,"8""",0-4,15-40,-
"8""C4 14018-A13A",,,,A13A,,,29RE4011-01400,C4,21.0 kgf/cm^2,65C,"8""",18kgf/cm^2,40C,
"8""CKB 16024-A13A-ST",,,,A13A,Liquid,,29RE4011-01600,Cracker Bottom,,,"8""",0-8,80,-
"8""PR 13034-B13A",,,,B13A,Liquid,,29RE4011-01300,Propylene,,,"8""",0-18,15-40,-
"8""PR 13038-B13A",,,,B13A,Liquid,,29RE4011-01300,Propylene,,,"8""",0-43,15-40,-
"8""WF 13009-A14A",,,,A14A,,,29RE4011-01300,WF,21.0 kgf/cm^2,65C,"8""",18kgf/cm^2,40 C,
"2""SSC 20016-12-A12A-P",,,,150#,9,,20-2000D,SSC,9,180,"2""",6.5,100,
"2""C3R 6040-B11Q-P",,,,B11Q,V,A,22-0660B,C3R,20.6,-45,2,0.37,-40,
"10""HV 4031-B13A-P/A230/100",,,,B13A,V,N,22-0460,HV,25,170,10,15.3,124.8,30/100
"1""CW 24707-A11A",,,,A11A,,,24-2400A,CW,8,75,"1""",,,
"1""LN 1605-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1646-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1659-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1676-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""MS1 8641-B12T-H50",,,,B12T,,,24-0860B,MS1,21,350,"1""",,,
"1""MS1 8701-B12T-H80",,,,B12T,,,24-0870A,MS1,,,"1""",,,
"1""MS1 8706-B12T-H60",,,,B12T,,,24-0870C,MS1,,,"1""",,,
"1""OWS 8711-A51A",,,,A51A,,,24-0870C,OWS,,,"1""",,,
"1""PW 8712-A52Q-H40",,,,A52Q,,,24-0870D,PW,,,"1""",,,
"1""S 8743-A56A-T1-40",,,,A56A,,,24-0870F,S,,,"1""",,,
"1""SLS 8769-A56A",,,,A56A,,,24-0870E,SLS,,,"1""",,,
"10""S 8717-B53T-T1-70",,,,B53T,,,24-0870E,S,,,"10""",,,
"10""S 8753-B53T-T1-70",,,,B53T,,,24-0870E,S,,,"10""",,,
"1-1/2""HCS 8319-B52Q-N",,,,B52Q,,,24-0830C,HCS,29.2,165,"1-1/2""",,,
"1-1/2""HCS 8335-B51A",,,,B51A,,,24-0830B,HCS,,,"1-1/2""",,,
"1-1/2""HL 8021-B52A",,,,B52A,,,24-0800C,HL,44.5,190,"1-1/2""",,,
"1-1/2""HL 8104-B53A",,,,B53A,,,24-0810A,HL,20.1,100,"1-1/2""",,,
"1-1/2""HL 8537-A51A",,,,A51A,,,24-0850C,HL,,,"1-1/2""",,,
"3/4""PA 1583AH-A11A",,,,A11A,V,,22-2900C,PA,11,65,3/4,7,AMB,
"3/4""WBD 7510-B13A",,,,B13A,,,23-750C,WBD,22.80 kgf/cm^2,95 C,"3/4""",,,
"3/4""WBD LG314-A13A",,,,A13A,L,,22-0300B,WBD,3.5,121,3/4,0.5,40.8,
"3/4""WBD LG344-A13A",,,,A13A,L,,22-0380A,WBD,3.5,140,3/4,0.5,40,
"3/4""WBD LG345-B24A",,,,B24A,L,,22-0380A,WBD,44.8/0.175,75/75,3/4,39.9/43.03,31/40,
"3/4""WBD LG346-B24A",,,,B24A,L,,22-0380A,WBD,44.8,65,3/4,39.7,16,
"3/4""WBD LT305C-A13A",,,,A13A,L,,22-0300A,WBD,4.6,121,3/4,1.48,39.2,
"3/4""WBD P730B-A13A",,,,A13A,L,,23-730D,WBD,3.5,140,3/4,0.5,100,
"3/4""WG 32020-A16A",,,,A16A,,,22-3400/0340,WG,15.00 kgf/cm^2,75 C,"3/4""",,,
"30""ICW 6601-A11A",,,,A11A,L,,22-0660A,ICW,13.8,75,30,3.8,38.8,
"36""QW 2014-A13A-H/A250/100",,,,A13A,L,B,22-0200A2,QW,,115,36,0.54,85,
"4""C3R 6034-B11Q",,,,B11Q,,,22-0660B,C3R,20.60 kgf/cm^2,,"4""",,,
"4""C4 7017-B13A",,,,B13A,L,,22-0700B,C4,32.7,70,4,26.3,43,
"4""FW 47216-A12X",,,,A12X,Liquid,-,24HE4011-4001F,FW,16.0,65,3,8.0,AMB,-
"4""FW 47234-A12X",,,,A12X,Liquid,-,24HE4011-4006,FW,16.0,65,3,8.0,AMB,-
"4""HL 8201-A53A",,,,A53A,,,24HE4011-0820A,HL,3.5,250,"4""",,,
"4""HL 8931-A56A",,,,A56A,,,24HE4011-0850A,HL,18,75,"4""",,,
"4""HV 8503-A51A",,,,A51A,Vapor,C,24HE4011-0850B,HV,3.5,250,1 1/2,0.3,85,30
"4""LF 8853-A14A",,,,A51A,Vapor,C,24HE4011-0880C,HV,3.5,250,1 1/2,0.4,65,30
"4""P 8748-A56A",,,,A56A,,,24HE4011-0870E,P,3.5,250,"4""",,,
"4""P 8749-A56A",,,,A56A,,,24HE4011-0860C,P,3.5,250,"4""",,,
"4""S 8736-A56A-T140",,,,A56A,Liquid,B,24HE4011-0870F,S,12.0,90,3/4,0.02,40,40
"4""SLS 8707-A56A-T140",,,,A51A,Liquid,C,24HE4011-0870F,SLS,3.5,250,4,0.1,AMB,40
"50""HV 8707-A51A",,,,A51A,,,24HE4011-0870A,HV,,,"50""",,,
"6""FW 47053-A12Z",,,,A12Z,Liquid,-,24HE4011-4000,FW,16.0,65,6,8.0,AMB,-
"6""FW 47064-A12Z",,,,A12Z,Liquid,-,24HE4011-4000,FW,16.0,65,6,8.0,AMB,-
"1-1/2""SLS 8768-A56A-H",,,,A56A,,,24-0870E,SLS,,,"1-1/2""",,,
"1-1/2""SLS 8769-A56A",,,,A56A,,,24-0870E,SLS,,,"1-1/2""",,,
"1-1/2""TW 1623-A11A",,,,A11A,,,24HE4011-2100A,TW,10,65,"1-1/2""",,,
"12""HL 8019-B52A-P30",,,,B52A,,,24-0800C,HL,7.6,205,"12""",,,
"16""MS2 20701-B12T-H80",,,,B12T,,,24-2000B,MS2,16,350,"16""",,,
"18""HL 8128-A53A",,,,A53A,,,24-0810A,HL,8,205,"18""",,,
"18""PS 8700-A52Q-H60",,,,A52Q,,,24-0870D,PS,3.5,250,"18""",,,
"2""D 8704-A56A-T1-40",,,,A56A,,,24-0870G,D,,,"2""",,,
"2""HCS 8042-A51A",,,,A51A,,,24-0800C,HCS,27.3,250,"2""",,,
"2""HCS 8053-A53A",,,,A53A,,,24-0800A,HCS,,,"2""",,,
"2""HCS 8831-A51A",,,,A51A,,,24-0880B,HCS,3.5,250,"2""",,,
"2""HL 8049-A53A",,,,A53A,,,24-0800A,HL,,,"2""",,,
"2""HL 8807-B51T",,,,B51T,,,24-0880A,HL,,,"2""",,,
"2""HV 8101-A54A",,,,A54A,,,24-0810B,HV,,,"2""",,,
"2""HV 8300-B52D-H90",,,,B52D,,,24-0830A,HV,12,65,"2""",,,
"2""HV 8728-A14A",,,,A14A,,,24-0870D,HV,,,"2""",,,
"2""LLN 8525-A12X",,,,A12X,,,24-0850B,LLN,12,65,"2""",,,
"2""LS1 8300-A14T-H60",,,,A14T,,,24-2000C,LS1,,,"2""",,,
"3""HL 8939-B51A",,,,B51A,,,24HE4011-0890A,HL,,,"3""",,,
"3""HV 8004-B52Q",,,,B52A,Vapor,B,24HE4011-0800C,HV,29.2,160,3,23.2,45,-
"3""HV 8404-A53A",,,,A53A,Vapor,B,24HE4011-0840B,HV,6.6,115,2,4.2,42,-
"3""LF 8924-A14A",,,,A14A,,,24HE4011-0890B,LF,3.5,250,"3""",,,
"3""MC2 20709-B12T-H60",,,,B12T,Liquid,C,24HE4011-2000B,MC2,16.0,245,8,12.0,191,60
"3""OWS 8400-A53A",,,,A53A,,,24HE4011-0840A,OWS,6.9,200,"3""",,,
"3""OWS 8500-A51A",,,,A51A,,,24HE4011-0850A,OWS,3.5,250,"3""",,,
"3""OWS 8602-A51Z",,,,A51Z,Liquid,-,24HE4011-0860D,OWS,3.5,250,2,0.1,AMB,-
"3""OWS 8801-A51Z",,,,A51A,Liquid,C,24HE4011-0880A,OWS,3.5,250,3,0.1,AMB,-
"3""S 8715-B53T-T160",,,,B53T,Liquid,C,24HE4011-0870D,S,24.0,250,3,-0.1,175,60
"3""SLS 8602-A51A-T160",,,,B53T,Liquid,C,24HE4011-0860B,SLS,24.0,250,3/4,16.6,158,40
"3""WF 8322-A14A-P30",,,,A14A,Vapor,C,24HE4011-0830F,WF,2.5,250,3,1.7,200,-
"3/4""D 8090-A11A",,,,A11A,Liquid,A,24HE4011-0800D,CW,8.0,75,3/4,5.0,32,-
"6""DW 22060-A14K",,,,A14K,,,20CT4011-02200B,DW,,,"6""",,6,
"6""PSC 22041-A14K",,,,A14K,,,20CT4011-02200G,PSC,,,"6""",,6,
"6""PW 22087-CSRL",,,,CSRL,,,20CT4011-02200A,PW,,,"6""",,6,
"8""WW 22021-A12A",,,,A12A,,,20CT4011-02200F,WW,,,"8""",,8,
"8""WW 22022-CSRL",,,,CSRL,,,20CT4011-02200A,WW,,,"8""",,8,
"1""C4 14043-A13A",,,,A13A,Liquid,,29RE4011-01400,Raw C4,,,"1""",0-7,15-40,-
"1""HL 15019-B51A",,,,B51A,Liquid,,29RE4011-01500A,Hydrocarbon Liquid,,,"1""",0-28,15-40,-
"1""PR 13009-B13A",,,,B13A,vapor,,29RE4011-01300,Propylene Vapors,,,"1""",0-18,15-40,-
"1""PR 13010-B13A",,,,B13A,vapor,,29RE4011-01300,Propylene Vapors,,,"1""",0-18,15-40,-
"10""DF 12008-A13K",,,,A13K,,,29RE4011-01200B/2600A,DF,21 kgf/cm^2,65C,"10""",18kgf/cm^2,40C,
"10""WF 13004-A14A",,,,A14A,Liquid,,29RE4011-01300,WET FLARE,,,"10""",0-2,15-30,
"1-1/2""CKB 16043-B13A-ST",,,,B13A,Liquid,,29RE4011-01600,Cracker Bottom,,,"1-1/2""",0-23,80,-
"1-1/2""PR 13019-B13A",,,,B13A,,,29RE4011-01300,PR,21.0 kgf/cm^2,65C,"1-1/2""",18kgf/cm^2,40 C,
"1-1/2""PR 13021-B13A",,,,B13A,,,29RE4011-01300,PR,21.0 kgf/cm^2,65C,"1-1/2""",18kgf/cm^2,40 C,
"3/4""SLS 8758-A51A",,,,A51A,,,24HE4011-0870B,SLS,,,"3/4""",,,
"3/4""SLS 8761-A56A-H40",,,,A56A,,,24HE4011-0870D,SLS,3.5,250,"3/4""",,,
"3/4""SLS 8771-A14A-T140",,,,A56A,Liquid,C,24HE4011-0870G,SLS,3.5,250,1,1.0,AMB,40
"30""CW 24704-A11A",,,,A11A,Liquid,A,24HE4011-2400A,CW,8.0,75,8,5.0,32,-
"30""HV 8901-A51A",,,,A51A,,,24HE4011-0890A,HV,,,"30""",,,
"30""HV 8914-A51A",,,,A51A,,,24HE4011-0890B,HV,,,"30""",,,
"30""HV 8914-A51A",,,,A51A,Vapor,C,24HE4011-0890B,HV,3.5,250,1 1/2,0.4,111.8,30
"4""C9+ 8516-A56A",,,,A56A,Liquid,A,24HE4011-0850A,C9+,18.0,65,6,7.5,40,-
"4""HL 8202-A53A",,,,A53A,,,24HE4011-0820A,HL,3.5,250,"4""",,,
"4""HL 8202-A53A",,,,A53A,,,24HE4011-0820A,HL,,,4,,,
"4""HL 8521-A51A",,,,A51A,,,24HE4011-0850B,HL,49.6,,"4""",,,
"4""HL 8631-B51A",,,,B51A,,,24HE4011-0850B,HL,20.1,100,"4""",,,
"4""HL 8722-A51A-T140",,,,A51A,Liquid,B,24HE4011-0870B,HL,18.0,100,6,4.0,40,40
"4""HL 8855-A51A",,,,A51A,,,24HE4011-0890A,HL,,,"4""",,,
"4""HV 8104-B52A",,,,B52A,,,24HE4011-0810B,HV,29.2,165,"4""",,,
"1""H 8003-A53A",,,,A53A,,,24-0800A,H,44.8,65,"1""",,,
"1""HC 8202-D11T-H",,,,D11T,,,24-0820A,HC,12.5,75,"1""",,,
"1""HCS 8919-A51A",,,,A51A,,,24-0890A,HCS,3.5,250,"1""",,,
"1""HL 8016-B52A-P30",,,,B52A,,,24-0800C,HL,7.6,205,"1""",,,
"1""HL 8047-A53A",,,,A53A,,,24-0800A,HL,18,75,"1""",,,
"1""HL 8207-A53A-P",,,,A53A,,,24-0820A,HL,3.5,250,"1""",,,
"1""HL 8608-A51A-T1-40",,,,A51A,,,24-0860B,HL,,,"1""",,,
"1""HV 8310-B51D",,,,B51D,,,24-0830F,HV,37.7,310,"1""",,,
"1""LLN 8727-A12X",,,,A12X,,,24-0870B,LLN,3.5,250,"1""",,,
"1""LLN 9609-A12X",,,,A12X,,,24-0960A,LLN,3.5,250,"1""",,,
"1""LN 1609-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1632-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1660-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1673-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""LN 1677-A12X",,,,A12X,,,24-2800A,LN,12,65,"1""",,,
"1""MC2 20706-B12T-H60",,,,B12T,,,24-2000B,MC2,12.5,75,"1""",,,
"1""MN 8305-A13A-T1-40",,,,A13A,,,24-0830E,MN,5.5,100,"1""",,,
"6"" FW 41034-A12X",,,,A12X,TK-1010B Spary Ring,,Fire Water,5,,,"6""",50,22.5,N/A
"6"" FW 41529-A12X",,,,A12X,"3"" FW 41531/41532",,Fire Water,7,,,"6""",50,22.5,N/A
"6""C4 14015-A13A",,,,A13A,Vapor,,29RE4011-01400/01700A,Raw C4 Vapor,,,"6""",0-4,15-40,-
"6""CKB 17002-B13A-ST",,,,B13A,,,29RE4011-01600,CKB,,,"6""",,,
"6""HL 15001-B51A",,,,B51A,,,29RE4011-01500A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""PG 15006-A13A",,,,A13A,,,29RE4011-01500A/01700A,PG,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""PG 15006-A13A",,,,A13A,Liquid,,29RE4011-01500A/01700A,Pyrolysis Gasoline,,,"6""",0-10,15-40,-
"6""PR 13028-B13A",,,,B13A,,,29RE4011-01300,PR,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"8"" AFW 40035-A11A",,,,A11A,FM-NS-4A-002,,Air Foam,8.5,,,"8""",50,22.5,N/A
"8"" FW 40054-A12Z",,,,A12Z,"6"" FW 40055-A12Z",,Fire Water,9.5,,,"8""",50,22.5,N/A
"8"" FW 40113-A12X",,,,A12X,Header to TK-1520,,Fire Water,9.5,,,"8""",50,22.5,N/A
"8"" FW 41202-A12X",,,,A12X,TK-1210A FW Riser,,Fire Water,7,,,"8""",50,22.5,N/A
"8"" FW 41412-A12X",,,,A12X,TK-1410 FW Riser,,Fire Water,7,,,"8""",50,22.5,N/A
"3/4""LC1 1653-A14T-H40",,,,A12A,Liquid,B,24HE4011-2000B,LC1,6.8,180,3/4,2.0,133,40
"3/4""LS1 1613-A14T-H40",,,,A14T,Vapor,C,24HE4011-2000B,LS1,6.8,300,3/4,4.0,200,40
"3/4""MS2 8402-B12T",,,,B12T,,,24HE4011-0840A,MS2,16,350,"3/4""",,,
"3/4""SLS 8614-A51A",,,,A56A,Liquid,C,24HE4011-0860D,SLS,3.5,250,2,0.55,50,-
"3/4""SLS 8617-A51A",,,,A56A,Liquid,C,24HE4011-0860D,SLS,9.0,250,3/4,4.0,50,-
"3/4""SLS 8620-A51A",,,,A51A,,,24HE4011-0860C,SLS,3.5,250,"3/4""",,,
"3/4""SLS 8630-B53T-T140",,,,A51A,Liquid,C,24HE4011-0860A,SLS,3.5,250,3/4,0.1,AMB,40
"3/4""SLS 8635-A51A-T140",,,,A51A,Liquid,C,24HE4011-0860B,SLS,3.5,250,2,0.1,AMB,40
"3/4""SLS 8650-A56A",,,,A56A,,,24HE4011-0860D,SLS,9,250,"3/4""",,,
"3/4""SLS 8710-A51A-T140",,,,A56A,Liquid,C,24HE4011-0870A,SLS,3.5,250,3,0.27,175,60
"3/4""SLS 8716-A51A",,,,A51A,Liquid,C,24HE4011-0870B,SLS,3.5,250,3,0.1,AMB,40
"3/4""SLS 8716-A56A",,,,A51A,Liquid,C,24HE4011-0870B,SLS,3.5,250,3/4,0.1,AMB,-
"2""OWS 8505-B54T-H50",,,,B54T,Liquid,C,24HE4011-0850A,OWS,3.5,250,2,1.1,214,-
"2""OWS 8603-A51A",,,,A51A,,,24HE4011-0860A,OWS,3.5,250,"2""",,,
"2""OWS 8603-A51Z",,,,A51Z,,,24HE4011-0860A,OWS,3.5,250,"2""",,,
"2""OWS 8609-A51A",,,,A51A,Vapor,C,24HE4011-0860C,HV,3.5,250,1 1/2,0.3,50,30
"2""OWS 8609-B51A",,,,A51Z,Liquid,-,24HE4011-0860C,OWS,3.5,250,2,0.1,AMB,-
"2""OWS 8706-A51Z",,,,A51A,Liquid,C,24HE4011-0870F,OWS,3.5,250,2,0.1,AMB,-
"2""OWS 8804-A51Z",,,,A51Z,,,24HE4011-0880C,OWS,3.5,250,"2""",,,
"2""PW 8712-A56A-H40",,,,A56A,Liquid,C,24HE4011-0870D,PS,3.5,250,3/4,-0.2,175,40
"2""PW 8852-A56A",,,,A56A,,,24HE4011-0880C,PW,,250,"2""",,,
"2""PW 8853-A56A-P30",,,,A56A,Liquid,C,24HE4011-0870E,PW,3.5,250,2,1.0,65,-
"2""RCW 8561-A11A",,,,A11A,Liquid,A,24HE4011-0850C,RCW,8.0,75,1/2,2.6,42,-
"2""SLS 8619-B51A",,,,A51A,Liquid,C,24HE4011-0860C,SLS,3.5,250,2,0.1,AMB,-
"2""SLS 8723-A51A-T140",,,,A56A,Liquid,A,24HE4011-0870B,SLS,9.2,80,3/4,3.14,40,-
"1-1/2""HM 8014-D51D-H50",,,,D51D,,,24-0800B,HM,,,"1-1/2""",,,
"1-1/2""HV 8366-B52A-T1-40",,,,B52A,,,24-0830C,HV,,,"1-1/2""",,,
"1-1/2""HV 8408-A53A-H40",,,,A53A,,,24HE4011-0840A,HV,6.9,200,"1-1/2""",,,
"1-1/2""LN 28709-A12X",,,,A12X,,,24-2800A,LN,12,65,"1-1/2""",,,
"1-1/2""LS1 1621-A14T-H40",,,,A14T,,,24HE4011-2000B,LS1,6.8,300,"1-1/2""",,,
"1-1/2""OWS 8201-A53A-H",,,,A53A,,,24-0820A,OWS,3.5,250,"1-1/2""",,,
"1-1/2""PA 28701-A11A",,,,A11A,,,24-2800B,PA,11,65,"1-1/2""",,,
"12""HL 8700-A51A",,,,A51A,,,24-0870A,HL,,,"12""",,,
"12""HV 8601-A51A-T1-50",,,,A51A,,,24-0860B,HV,3.5,250,"12""",,,
"12""RS 8012-B51D-P90",,,,B51D,,,24-0800D,RS,5.2,490,"12""",,,
"14""MS2 20701-B12T-H90",,,,B12T,,,24-2000B,MS2,16,350,"14""",,,
"14""S 8614-B53T-H70",,,,B53T,,,24-0860B,S,24,250,"14""",,,
"16""HM 8300-B52K-H30",,,,B52K,,,24-0830A,HM,29.9,225,"16""",,,
"16""MS1 20701-B12T-H90",,,,B12T,,,24-2000B,MS1,21,350,"16""",,,
"16""RCW 24702-A11A",,,,A11A,,,24-2400A,RCW,8,75,"16""",,,
"18""CW 8002-B12T-P30",,,,B12T,,,24-0800C,CW,12.5,75,"18""",,,
"4""HV 8104-B52A",,,,B53A,Vapor,B,24HE4011-0810B,HV,29.2,85,3,2.1,40,-
"4""HV 8315-B52Q",,,,B52Q,,,24HE4011-0830C,HV,29.2,165,"4""",,,
"4""HV 8820-A51A",,,,A51A,,,24HE4011-0880C,HV,,,"4""",,,
"4""HV 8820-A51A",,,,A51A,Vapor,C,24HE4011-0880C,HV,3.5,250,30,0.6,95,30
"4""LF 8525-A14A",,,,A51A,Vapor,C,24HE4011-0850B,HV,3.5,250,42,0.5,121,30
"4""WF 8323-B52A",,,,A14A,Vapor,C,24HE4011-0830B,WF,3.5,250,4,1.7,200,-
"42""HV 8505-A51A",,,,A51A,,,24HE4011-0850A,HV,3.5,250,"42""",,,
"42""HV 8505-A51A",,,,A51A,Vapor,C,24HE4011-0850A,HV,3.5,250,12,0.5,121,30
"6""BZ 8835-A51A",,,,A51A,,,24HE4011-0880B,BZ,3.5,250,"6""",,,
"6""BZ 8835-A51A",,,,A51A,Liquid,B,24HE4011-0880B,BZ,13.0,130,4,4.0,40,-
"6""FW 47065-A12Z",,,,A12Z,Liquid,-,24HE4011-4000,FW,16.0,65,6,8.0,AMB,-
"6""FW 47071-A12Z",,,,A12Z,Liquid,-,24HE4011-4000,FW,16.0,65,6,8.0,AMB,-
"6""FW 47073-A12Z",,,,A12Z,Liquid,-,24HE4011-4000,FW,16.0,65,6,8.0,AMB,-
