Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
STR-2801,PA(Plant Air) Drum Strainer,STRAINER,20-CTU,,,,,,
P-3343A,NEUTRALIZATION WATER SEND OUT PUMP,PUMP,20-CTU,C,,,,,
P-3012B,CPI SEPARATPR OIL PUMP,PUMP,20-CTU,B,,,,,
P-3360B,DECANTER WATER PIT PUMP,PUMP,20-CTU,B,,,,,
P-3072A,NO. 1 H2SO4 TRANSFER PUMP,PUMP,20-CTU,B,,,,,
STR-3078B,STRAINER FOR P-3078A/B,STRAINER,20-CTU,C,,,,,
STR-3073,STRAINER FOR P-3073,STRAINER,20-CTU,B,,,,,
P-426A,DEMETHANIZER BOTTOMS PUMP,PUMP,22-ORU,A,,Demethanizer Bottoms Pump,"Centrifugal
(Vertical)",,
P-500B,DEETHANIZER REFLUX PUMP,PUMP,22-ORU,B,,Deethanizer Reflux Pump,Centrifugal,,
DG-5000,CCB 690V GENERATOR DIESEL ENGINE,DIESEL ENGINE,20-CTU,A,,,,,
P-217B,PYROLYSIS FUEL OIL PRODUCT PUMP,PUMP,22-ORU,A,,Pyrolysis Fuel Oil Product Pump,Centrifugal,,
E-245A,DILUTION STEAM DRUM REBOILER,HEAT EXCHANGER,22-ORU,A,,Dilution Steam Drum Reboiler,V-BEL,,
P-343A,INTERMEDIATE CAUSTIC CIRCULATION PUMP,PUMP,22-ORU,B,,Intermediate Caustic Circulation Pump,Centrifugal,,
STR-402A,E Strainer,STRAINER,22-ORU,,,,,,
D-563,C2R 3RD STAGE SUCTION DRUM,DRUM,22-ORU,A,,C2R 3rd Stage Suction Drum,Vertical,-101,11.6
E-705B,DEBUTANIZER REBOILER,HEAT EXCHANGER,22-ORU,B,,,,,
P-700B,DEBUTANIZER REFLUX PUMP,PUMP,22-ORU,B,,Debutanizer Reflux Pump,Centrifugal,,
P-705B,"CONDENSATE PUMP FOR E-705A,B",PUMP,22-ORU,C,,"Condensate Pump for E-705A,B",Centrifugal,,
P-1010C,NAPHTHA FEED PUMP,PUMP,29-TFU,A,,Naphtha feed pump,CENTRIFUGAL (Vertical),,
PT-2021B,TURBINE FOR P-2021B,TURBINE,20-CTU,A,,,,,
P-2051B,SCALE INHIBOTOR CONTROL PUMP FOR FURNACE,PUMP,20-CTU,B,,SCALE INHIBITOR PUMP FOR FURNACE,Metering,,
P-2100A,TREATED WATER PUMP FOR MAKE UP COOLING,PUMP,20-CTU,B,,,,,
P-2101A,INTERMEDIATE WATER PUMP,PUMP,20-CTU,B,,,,,
P-2102A,TREATED WATER PUMP,PUMP,20-CTU,B,,,,,
P-2601A,OILY WATER PUMP,PUMP,20-CTU,C,,,,,
P-2640,OILY WATER PUMP,PUMP,20-CTU,,,,,,
P-3080A,C POLYMER PUMP,PUMP,20-CTU,B,,,,,
ZZ-102B,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-101E,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
P-3032B,DIVERSION BOX#2 WASTE TRANSFER PUMP,PUMP,20-CTU,,,,,,
P-006A,DMDS PRESULFIDING INJECTION PUMP,PUMP,21-CFU,C,,,,,
STR-003A,LC2 Strainer,STRAINER,21-CFU,,,,,,
F-205A,QUENCH OIL SUCTION FILTER,FILTER,22-ORU,B,,Quench Oil Suction Filter,Bucket,205,23.5
P-259E,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,,,,
STR-301A,HV Strainer,STRAINER,22-ORU,,,,,,
STR-304A,HL Strainer,STRAINER,22-ORU,,,,,,
STR-315A,CS Strainer,STRAINER,22-ORU,,,,,,
STR-408B,HL Strainer,STRAINER,22-ORU,B,,,,,
ZZ-440,SILENCER,SILENCER,22-ORU,A,,Silencer,,,
STR-505A,HL Strainer,STRAINER,22-ORU,C,,,,,
STR-504B,HL Strainer,STRAINER,22-ORU,C,,,,,
STR-525A,C2R Strainer,STRAINER,22-ORU,,,,,,
STR-617B,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-606,HL Strainer,STRAINER,22-ORU,,,,,,
STR-604B,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-610,C3R Strainer,STRAINER,22-ORU,A,,,,,
STR-704B,C4 Strainer,STRAINER,22-ORU,C,,,,,
STR-3404A,WG Strainer,STRAINER,22-ORU,,,,,,
M-760B,OCU C4 FEED TREATERS,TREATER,23-OCU,,,OCU C4 Feed Treaters,,"70 &
320 @ Regen.","11.0 & 
7.7 @ Regen."
F-761A,OCU C2 FEED FILTERS,FILTER,23-OCU,,,OCU C2 Feed Filters,Cartridge,65,46.5
E-780A,DEPROPYLENIZER CONDENSER,HEAT EXCHANGER,23-OCU,,,Depropylenizer Condenser,H-AEM,,
P-227B,QUENCH OIL TOWER REFLUX PUMP,PUMP,22-ORU,A,,Quench Oil Tower Reflux Pump,Centrifugal,,
STR-407A,HV Strainer,STRAINER,22-ORU,,,,,,
STR-515B,C2R Strainer,STRAINER,22-ORU,,,,,,
P-641D,C3 TOWER NO. 2 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 2 Reflux Pump,Centrifugal,,
C-835B,GHU-2 RECYCLE GAS COMPRESSOR,HYDROGEN COMPRESSOR,24-ARU,A,,,,,
P-2010A,LP CONDENSATE PUMP,PUMP,20-CTU,B,,LP CONDENSATE PUMP,Vertical can,,
P-2100B,TREATED WATER PUMP FOR MAKE UP COOLING,PUMP,20-CTU,B,,,,,
CT-2800B,TURBINE FOR C-2800B,TURBINE,20-CTU,A,,,,,
P-3070A,CONC. H2SO4 PUMP,PUMP,20-CTU,B,,,,,
P-3076A,C POLYMER PUMP,PUMP,20-CTU,C,,,,,
P-3078B,H3PO4 PUMP,PUMP,20-CTU,C,,,,,
P-3202B,SPENT CAUSTIC FEED PUMP,PUMP,22-ORU,B,,Spent Caustic Feed Pump,Centrifugal,,
C-2050C,BOILER FORCE DRAFT FAN,FAN,20-CTU,A,,BOILER FAN FORCED DRAFT,Centrifugal,,40
CT-2050A,TURBINE FOR C-2050A,TURBINE,20-CTU,A,,TURBINE FOR C-2050A/B/C,Horizontal / Single stage,,
STR-2015B,Strainer for P-2052 A/B,STRAINER,20-CTU,,,,,,
SC-2001,SAMPLE COOLER - FEED WATER,SAMPLE COOLER,20-CTU,,,,,,
P-2161B,NaOCl DOSING PUMP,PUMP,20-CTU,B,,,,,
P-2163A,POLYMER DOSING PUMP I (To Clarifier),PUMP,20-CTU,B,,,,,
C-2201B,DEGASIFIER FAN,FAN,20-CTU,B,,,,,
P-2202D,DEGASIFIER WATER PUMP,PUMP,20-CTU,B,,,,,
C-2201C,DEGASIFIER FAN,FAN,20-CTU,B,,,,,
P-2252B,HCl METERING PUMP II FOR MB,PUMP,20-CTU,B,,,,,
P-2263A,CONDENSATE POLISHER CAUSTIC PUMP,PUMP,20-CTU,B,,,,,
P-4003B,DIESEL ENGINE FIRE WATER PUMP,PUMP,20-CTU,,,,,,
STR-2001C,STRAINER FOR P-2020 A/B/C,STRAINER,20-CTU,B,,,,,
STR-2001A,STRAINER FOR P-2020 A/B/C,STRAINER,20-CTU,B,,,,,
STR-2002B,STRAINER FOR P-2010 A/B,STRAINER,20-CTU,B,,,,,
P-2162B,ALUM DOSING PUMP,PUMP,20-CTU,B,,,,,
C-2201F,DEGASIFIER FAN,FAN,20-CTU,B,,,,,
P-2261B,NaOH METERING PUMP I FOR ANION,PUMP,20-CTU,B,,,,,
P-2262B,NaOH METERING PUMP II FOR MB,PUMP,20-CTU,B,,,,,
P-2261A,NaOH METERING PUMP I FOR ANION,PUMP,20-CTU,B,,,,,
P-2264B,NaOH METERING PUMP FOR NWP,PUMP,20-CTU,B,,,,,
P-2203B,REGENERATION PUMP,PUMP,20-CTU,B,,,,,
P-2212A,REGENERATION PUMP,PUMP,20-CTU,B,,,,,
P-2418A,ALGAECIDE (N-00005) FEED PUMP,PUMP,20-CTU,,,,,,
D-2411,SCRUBBER FOR NaOCl,DRUM,20-CTU,C,,,,,
STR-2419A,STRAINER FOR P-2419 A/B,STRAINER,20-CTU,,,,,,
P-2429A,RO HP PUMP,PUMP,20-CTU,A,,,,,
P-2430A,WW TRANSFER PUMP,PUMP,20-CTU,B,,,,,
C-2800B,PLANT AIR COMPRESSOR,AIR COMPRESSOR,20-CTU,B,,,,,
P-3320B,SLUDGE PUMP,PUMP,20-CTU,B,,,,,
ZZ-3300B,CARBON CANISTER AT PIT-3300,CANISTER,20-CTU,,,,,,
STR-3070A,STRAINER FOR P-3070A/B,STRAINER,20-CTU,B,,,,,
STR-1951B,STRAINER FOR P-1951A/B,STRAINER,20-CTU,C,,,,,
F-3074,DISSOLVE AIR FLOATATION,SEPARATOR,20-CTU,,,,,,
H-100C,LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
ZZ-103C,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
STR-211A,PW Strainer,STRAINER,22-ORU,,,,,,
DSH-201,E-242/245 DSH,DESUPERHEATER,22-ORU,,,E-242/245 DSH,,,
STR-318A,LC2 Strainer,STRAINER,22-ORU,,,,,,
STR-404,HV Strainer,STRAINER,22-ORU,A,,,,,
E-427,DEMETHANIZER REBOILER NO.2,HEAT EXCHANGER,22-ORU,,,Demethanizer Reboiler No.2,H-BEU,,
STR-504A,HL Strainer,STRAINER,22-ORU,C,,,,,
D-562,C2R 2ND STAGE SUCTION DRUM,DRUM,22-ORU,A,,C2R 2nd Stage Suction Drum,Vertical,-101,11.6
STR-602B,LC2 Strainer,STRAINER,22-ORU,C,,,,,
STR-615,C3R Strainer,STRAINER,22-ORU,C,,,,,
STR-611A,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-3202B,CS Strainer,STRAINER,22-ORU,,,,,,
STR-3222A,SCS Strainer,STRAINER,22-ORU,,,,,,
P-719A,TBC INJECTION PUMPS,PUMP,23-OCU,,,,,,
R-720B,SHU 1ST STAGE REACTOR,REACTOR,23-OCU,,,SHU 1st Stage Reactor,,200/-10 & 500 @Regen,34 & 5.0 @Regen
E-722,SHU 1ST STAGE REACTOR EFFLUENT COOLER,HEAT EXCHANGER,23-OCU,,,"SHU 1st Stage Reactor 
Effluent Cooler",H-AEM,,
STR-7701A,HL Strainer,STRAINER,23-OCU,,,,,,
STR-8000A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8103B,HC Strainer,STRAINER,24-ARU,,,,,,
P-820A,DEDECTANIZER REFLUX PUMPS,PUMP,24-ARU,C,,Dedectanizer Reflux Pumps,C,,
D-820,DEDECTANIZER REFLUX DRUM,DRUM,24-ARU,C,,Dedectanizer Reflux Drum,H,80,3.5 / FV
STR-8306B,HC Strainer,STRAINER,24-ARU,,,,,,
P-831B,GHU-2 QUENCH PUMPS,PUMP,24-ARU,B,,GHU-2 Quench Pumps,C,,
STR-8602A,Water+HC Strainer,STRAINER,24-ARU,,,,,,
STR-4021B,Fire water to Sphere tank Strainer,STRAINER,20-CTU,,,,,,
ZZ-146B,MP PURGE STEAM SYSTEM RELIEF VALVE SILENCER,SILENCER,21-CFU,,,,,,
ZZ-103B,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-102D,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-121R,SMK SHP STEAM START-UP SILENCER (RECYCLE GAS CRACKING FURNACE),SILENCER,21-CFU,,,,,,
E-221C,PRIMARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,Primary Quench Water Cooler,H-AES,,
E-221B,PRIMARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,Primary Quench Water Cooler,H-AES,,
P-269A,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,,,,
DSH-301,E-325 DSH,DESUPERHEATER,22-ORU,,,E-325 DSH,,,
STR-331B,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-314,CS Strainer,STRAINER,22-ORU,,,,,,
STR-403,E Strainer,STRAINER,22-ORU,A,,,,,
STR-414,HV Strainer,STRAINER,22-ORU,A,,,,,
STR-503B,LC1 Strainer,STRAINER,22-ORU,C,,,,,
STR-511,C2R Strainer,STRAINER,22-ORU,A,,,,,
STR-612B,C3R Strainer,STRAINER,22-ORU,,,,,,
P-3201A,SPENT CAUSTIC GASOLINE CIRC. PUMP,PUMP,22-ORU,B,,Spent Caustic Gasoline Circ. Pump,Centrifugal,,
STR-3223,HL Strainer,STRAINER,22-ORU,,,,,,
STR-3221A,SCS Strainer,STRAINER,22-ORU,,,,,,
STR-3401A,WG Strainer,STRAINER,22-ORU,,,,,,
STR-3401B,WG Strainer,STRAINER,22-ORU,,,,,,
P-800A,GHU-1 FEED PUMPS,PUMP,24-ARU,B,,GHU-1 Feed Pumps,C,,
P-3401A,SPENT CAUSTIC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
SEJ-3001,STEAM EJECTOR,EJECTOR,20-CTU,,,Steam Ejector,,,
STR-3403,WG Strainer,STRAINER,22-ORU,,,,,,
R-720A,SHU 1ST STAGE REACTOR,REACTOR,23-OCU,,,SHU 1st Stage Reactor,,200/-10 & 500 @Regen,34 & 5.0 @Regen
STR-7302,LC1 Strainer,STRAINER,23-OCU,,,,,,
M-761A,OCU C2 FEED TREATERS,TREATER,23-OCU,,,OCU C2 Feed Treaters,,"50 &
320 @ Regen.","46.5 & 
7.7 @ Regen."
STR-7801A,HL Strainer,STRAINER,23-OCU,,,,,,
P-801A,GHU-1 RECYCLE PUMPS,PUMP,24-ARU,A,,GHU-1 Recycle Pumps,C,,
P-820B,DEDECTANIZER REFLUX PUMPS,PUMP,24-ARU,C,,Dedectanizer Reflux Pumps,C,,
E-820,DEDECTANIZER CONDENSER,HEAT EXCHANGER,24-ARU,A,,Dedectanizer Condenser,,,
STR-8351,Fuel Gas Strainer,STRAINER,24-ARU,,,,,,
P-846B,STABILIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Stabilizer Bottom Pumps,C,,
STR-8402A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8501A,HC Strainer,STRAINER,24-ARU,,,,,,
P-851A,IMPORTED C8+ FEED PUMPS,PUMP,24-ARU,B,,Imported C8+ Feed Pumps,C,,
P-860A,EDC REFLUX PUMPS,PUMP,24-ARU,B,,EDC Reflux Pumps,C,,
P-871A,SRC WATER PUMPS,PUMP,24-ARU,B,,,,,
STR-8703A,Water Strainer,STRAINER,24-ARU,,,,,,
STR-8704,Nitrogen Strainer,STRAINER,24-ARU,,,,,,
P-880B,BENZENE REFLUX PUMPS,PUMP,24-ARU,B,,,,,
P-896A,TOLUENE BOTTOMS PUMPS,PUMP,24-ARU,B,,,,,
STR-9003,Nitrogen Strainer,STRAINER,20-CTU,,,,,,
EJ-960,SUMP EJECTOR,EJECTOR,24-ARU,,,Sump Ejector,,,
STR-1011C,STRAINER FOR P-1010A/B/C/D,STRAINER,29-TFU,C,,,,,
STR-1564,STRAINER FOR P-1561B,STRAINER,29-TFU,C,,,,,
Z-1820,MX LOCAL BATCH CONTROLLER,CANISTER,29-TFU,,,,,,
ZM-2101-1A,SCRAPER DRIVE,DRIVER,20-CTU,B,,,,,
P-651B,C3 TOWER NO. 2 REFLUX PUMP,PUMP,22-ORU,A,,,,,
E-705A,DEBUTANIZER REBOILER,HEAT EXCHANGER,22-ORU,B,,,,,
P-1210B,HP ETHYLENE EXPORT PUMP,PUMP,29-TFU,A,,HP Etyene pump,CENTRIFUGAL (Vertca),,
P-2052A,SCALE INHIBOTOR CONTROL PUMP FOR BOILER,PUMP,20-CTU,B,,SCALE INHIBITOR PUMP FOR BOILER,Metering,,
P-2102B,TREATED WATER PUMP,PUMP,20-CTU,B,,,,,
P-2105B,SLUDGE FEED PUMP,PUMP,20-CTU,B,,,,,
P-2106B,RECOVERY WATER PUMP,PUMP,20-CTU,B,,,,,
P-2201A,TREATED WATER FEED PUMP FOR DM,PUMP,20-CTU,B,,,,,
P-2400E,COOLING WATER PUMP,PUMP,20-CTU,B,,,,,
PT-2401B,CW PUMP TURBINE CONDENSATE PUMP,TURBINE,20-CTU,,,,,,
P-3082B,H2SO4 PUMP,PUMP,20-CTU,B,,,,,
STR-2002A,STRAINER FOR P-2010 A/B,STRAINER,20-CTU,B,,,,,
C-2051A,GAS RECIRCULATION FAN,FAN,20-CTU,B,,GAS RECIRCULATION FAN,Centrifugal,,218
STR-2013A,Strainer for P-2051 A/B,STRAINER,20-CTU,,,,,,
P-2170B,CHEMICAL AREA SUMP PUMP,PUMP,20-CTU,C,,,,,
P-2202A,DEGASIFIER WATER PUMP,PUMP,20-CTU,B,,,,,
P-2251A,HCl METERING PUMP I FOR CATION,PUMP,20-CTU,B,,,,,
P-2205A,NEUTRALIZATION PUMP,PUMP,20-CTU,B,,,,,
P-2417A,98% H2SO4 PUMP,PUMP,20-CTU,C,,,,,
STR-2405A,STRAINER FOR P-2410 A/B,STRAINER,20-CTU,,,,,,
STR-2411A,STRAINER FOR P-2411 A/B,STRAINER,20-CTU,C,,,,,
STR-2416A,STRAINER FOR P-2416 A/B,STRAINER,20-CTU,C,,,,,
P-2427B,SMBS PUMP B,PUMP,20-CTU,B,,,,,
P-2428A,50%H2S04 DOSING PUMP,PUMP,20-CTU,B,,,,,
STR-205A,PO Strainer,STRAINER,22-ORU,,,,,,
STR-208A,QW Strainer,STRAINER,22-ORU,,,,,,
STR-211B,PW Strainer,STRAINER,22-ORU,,,,,,
STR-315B,CS Strainer,STRAINER,22-ORU,,,,,,
STR-408A,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-502B,LC2 Strainer,STRAINER,22-ORU,C,,,,,
STR-501A,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-505B,HL Strainer,STRAINER,22-ORU,C,,,,,
STR-601A,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-603C,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-607,C3R Strainer,STRAINER,22-ORU,A,,,,,
STR-701A,LC1 Strainer,STRAINER,22-ORU,C,,,,,
P-709A,PYROLYSIS GASOLINE ANTI-OXIDANT PUMP,PUMP,22-ORU,C,,,,,
STR-2193B,BFW Desup SHPS to HS Strainer,STRAINER,20-CTU,,,,,,
ZZ-2005B,ISBL STEAM VENT SILENCER,SILENCER,20-CTU,,,,,,
P-660A,C3R COMPRESSOR TURBINE CONDENSATE PUMP,PUMP,22-ORU,B,,C3R COMP'R TURBINE CONDENSATE PUMP,Centrifugal,,
STR-3201B,HL Strainer,STRAINER,22-ORU,,,,,,
P-366,T-360 BOTTOM PUMP,PUMP,22-ORU,,,Condensate Stripper Bottoms Pump,Centrifugal,,
E-750A,DEISOBUTENIZER CONDENSER,HEAT EXCHANGER,23-OCU,,,,,,
R-760B,OCT REACTORS,REACTOR,23-OCU,,,OCT Reactors,,400 & 600 @ Regen,36.0 & 6.5 @ Regen
E-780C,DEPROPYLENIZER CONDENSER,HEAT EXCHANGER,23-OCU,,,Depropylenizer Condenser,H-AEM,,
STR-7801B,HL Strainer,STRAINER,23-OCU,,,,,,
STR-8101B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8101A,HC Strainer,STRAINER,24-ARU,,,,,,
P-840A,STABILIZER REFLUX PUMPS,PUMP,24-ARU,B,,Stabilizer Reflux Pumps,C,,
P-850B,DEOCTANIZER REFLUX PUMPS,PUMP,24-ARU,B,,Deoctanizer Reflux Pumps,C,,
F-3320,WASTE WATER CLARIFIER,CLARIFIER,20-CTU,C,,,,,
F-588,GAS FILTER (SEPARATION GAS),FILTER,22-ORU,A,,,,,
P-202A,QUENCH OIL DRAIN DRUM PUMP,PUMP,22-ORU,B,,Quench Oil Drain Drum Pump,"Centrifugal
(Submerged)",,
P-302A,DISTILLATE STRIPPER FEED PUMP,PUMP,22-ORU,B,,Distillate Stripper Feed Pump,Centrifugal,,
P-305A,C.G.C. TURBINE CONDENSATE PUMP,PUMP,22-ORU,A,,C.G.C. Turbine Condensate Pump,Centrifugal,,
P-344A,STRONG CAUSTIC CIRCULATION PUMP,PUMP,22-ORU,B,,Strong Caustic Circulation Pump,Centrifugal,,
P-365B,"CONDENSATE PUMP FOR E-365A,B",PUMP,22-ORU,C,,"Condensate Pump for E-365A,B",Centrigugal,,
P-600B,DEPROPANIZER REFLUX PUMP,PUMP,22-ORU,B,,Depropanizer Reflux Pump,Centrifugal,,
STR-614B,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-639A,C3R Strainer,STRAINER,22-ORU,B,,,,,
STR-639B,C3R Strainer,STRAINER,22-ORU,B,,,,,
P-701B,RAW C4 PRODUCT PUMP,PUMP,22-ORU,B,,Raw C4 Product Pump,Centrifugal,,
P-706B,DEBUTANIZER BOTTOMS PUMP,PUMP,22-ORU,B,,Debutanizer Bottoms Pump,Centrifugal,,
D-302,CGC 2ND STAGE SUCTION DRUM,DRUM,22-ORU,A,,CGC 2nd Stage Suction Drum,Vertical,121,4.6
PIT-3032,DIVERSION BOX NO. 2,PIT AND BASIN,20-CTU,C,,,,,
PT-2021A,TURBINE FOR P-2021A,TURBINE,20-CTU,B,,,,,
P-2022B,OXYGEN SCAVENGER PUMP FOR DEAERATOR,PUMP,20-CTU,C,,OXYGEN SCAVENGER PUMP,Metering,,
P-2201C,TREATED WATER FEED PUMP FOR DM,PUMP,20-CTU,B,,,,,
CT-2800A,TURBINE FOR C-2800A,TURBINE,20-CTU,A,,,,,
P-2210A,RAW CONDENSATE PUMP,PUMP,20-CTU,B,,,,,
PT-2200A,TURBINE FOR DEMINERALIZED WATER PUMP,TURBINE,20-CTU,,,,,,
P-2412B,SCALE INHIBITOR TYPE 1 PUMP,PUMP,20-CTU,B,,,,,
STR-2419B,STRAINER FOR P-2419 A/B,STRAINER,20-CTU,,,,,,
STR-2413A,STRAINER FOR P-2413 A/B,STRAINER,20-CTU,C,,,,,
STR-2412A,STRAINER FOR P-2412 A/B,STRAINER,20-CTU,C,,,,,
P-2421A,MMF  BACKWASH  PUMP,PUMP,20-CTU,B,,,,,
P-2429B,RO HP PUMP,PUMP,20-CTU,A,,,,,
P-2425A,COAGULANT DOSING PUMP,PUMP,20-CTU,B,,,,,
TK-2423,CIP TANK,TANK,20-CTU,B,,,,,
STR-3078A,STRAINER FOR P-3078A/B,STRAINER,20-CTU,C,,,,,
STR-3075,STRAINER FOR P-3075,STRAINER,20-CTU,B,,,,,
STR-4092,Fire water to Flare KO Drum Strainer,STRAINER,20-CTU,,,,,,
D-100B,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
P-226A,QUENCH WATER PUMP,PUMP,22-ORU,A,,Quench Water Pump,Centrifugal,,
F-216B,PYROLYSIS GAS OIL FILTER,FILTER,22-ORU,,,Pyrolysis Gas Oil Filter,Basket Type,205,27
F-251B,PYROLYSIS FUEL OIL SUCTION FILTER,FILTER,22-ORU,,,Pyrolysis Fuel Oil Suction Filter,Basket Type,11 / 420,3.7 / FV
ZZ-210,QO/CG QUENCH FITTING,FITTING,22-ORU,B,,QO/CG Quench Fitting,,,
P-239A,QW/PW PH CONTROL PUMP,PUMP,22-ORU,,,,,,
STR-301B,HV Strainer,STRAINER,22-ORU,,,,,,
STR-305B,HL Strainer,STRAINER,22-ORU,,,,,,
STR-304B,HL Strainer,STRAINER,22-ORU,,,,,,
STR-302,HV Strainer,STRAINER,22-ORU,,,,,,
STR-319B,HL Strainer,STRAINER,22-ORU,,,,,,
P-2423,CIP PUMP,PUMP,20-CTU,B,,,,,
TK-2422,RO PERMEATE TANK,TANK,20-CTU,B,,,,,
P-3060A,CW BLOW DOWN HOLDING PIT PUMP,PUMP,20-CTU,B,,,,,
STR-3060B,STRAINER FOR P-3060A/B,STRAINER,20-CTU,B,,,,,
P-3012A,CPI SEPARATPR OIL PUMP,PUMP,20-CTU,B,,,,,
P-3320A,SLUDGE PUMP,PUMP,20-CTU,B,,,,,
X-3300B,EQUALIZATION MIXING AERATOR,AERATOR,20-CTU,B,,,,,
P-3340B,TREATED WASTE WATER PUMP,PUMP,20-CTU,B,,,,,
STR-3081B,STRAINER FOR P-3081A/B,STRAINER,20-CTU,B,,,,,
STR-3076A,STRAINER FOR P-3076A/B,STRAINER,20-CTU,C,,,,,
P-1951B,METHANOL PUMP NO 2,PUMP,20-CTU,C,,,,,
STR-4031A,Fire water to Sphere tank Strainer,STRAINER,20-CTU,B,,,,,
STR-4031B,Fire Water Strainer,STRAINER,20-CTU,B,,,,,
ZZ-101A,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-101B,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-103D,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
STR-209B,HL Strainer,STRAINER,22-ORU,,,,,,
STR-223,MS2 Strainer,STRAINER,22-ORU,,,,,,
P-259D,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,Chemical Injection Pump,"Metering
(Air Driven)",,
STR-222A,BFW Strainer,STRAINER,22-ORU,,,,,,
P-301B,C.G. 1ST STAGE SUCTION DRUM PUMP,PUMP,22-ORU,B,,C.G. 1st Stage Suction Drum Pump,Centrifugal,,
STR-306,HV Strainer,STRAINER,22-ORU,,,,,,
STR-332B,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-332A,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-609,C3R Strainer,STRAINER,22-ORU,A,,,,,
DSH-2061B,DESUPERHEATER FOR FD FAN,DESUPERHEATER,20-CTU,C,,,,,
E-2050B,ECONOMIZER,HEAT EXCHANGER,20-CTU,A,,,,,
E-2051,PFO HEATER,HEAT EXCHANGER,20-CTU,B,,PFO HEATER,Shell & tube - Horizontal,SS: 27.0/F.V. TS: 27.0,"SS: 300
TS: 160"
E-1213,METHANOL VAPORIZER,HEAT EXCHANGER,29-TFU,A,,Methanol,Shell & Tube,,
PIT-3010B,CPI SPARATOR PIT,PIT AND BASIN,20-CTU,C,,,,,
PIT-3310B,AERATION BASIN,PIT AND BASIN,20-CTU,C,,,,,
PIT-3340B,WASTE WATER CHECK BASIN,PIT AND BASIN,20-CTU,C,,,,,
F-688,GAS FILTER (SEPARATION GAS),FILTER,22-ORU,A,,,,,
X-3080,C POLYMER TANK MIXER,MIXER,20-CTU,B,,,,,
F-201B,PURGE OIL FILTER,FILTER,22-ORU,,,Purge Oil Filter,Basket Type,170,31
F-250A,PYROLYSIS FUEL OIL FILTER,FILTER,22-ORU,,,Pyrolysis Fuel Oil Filter,Basket Type,205,27
F-206B,QUENCH OIL DISCHARGE FILTER,FILTER,22-ORU,B,,Quench Oil Discharge Filter,Basket Type,205,23.5
P-302B,DISTILLATE STRIPPER FEED PUMP,PUMP,22-ORU,B,,Distillate Stripper Feed Pump,Centrifugal,,
P-505B,"CONDENSATE PUMP FOR E-505A,B",PUMP,22-ORU,C,,"Condensate Pump for E-505A,B",Centrifugal,,
P-641C,C3 TOWER NO. 2 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 2 Reflux Pump,Centrifugal,,
STR-614A,C3R Strainer,STRAINER,22-ORU,,,,,,
P-1010B,NAPHTHA FEED PUMP,PUMP,29-TFU,A,,Naphtha feed pump,CENTRIFUGAL (Vertical),,
