Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
E-2603,COLD FLARE METHANOL,HEAT EXCHANGER,20-CTU,A,,,,,
SK-2601,LP FLARE STACK,LP FLARE STACK,20-CTU,A,,,,,
F-2101B,CLARIFIER,CLARIFIER,20-CTU,C,,,,,
F-2102A,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,C,,,,,
ZZ-2162,ALUM SCRUBBER,SCRUBBER,20-CTU,C,,,,,
D-2020,DEAERATOR,DRUM,20-CTU,A,,DEAERATOR & FEED WATER STORAGE VESSEL TK-2020,Vertical Spray-Tray,5.5 / FV,350
DSH-2061C,DESUPERHEATER FOR FD FAN,DESUPERHEATER,20-CTU,C,,,,,
TK-2020,BFW STORAGE TANK,TANK,20-CTU,A,,,,,
TK-2050B,BOILER BLOWDOWN TANK,TANK,20-CTU,C,,BOILER BLOWDOWN TANK,Vertical,7.14,330
LA-1810,CRACKER BOTTOM TRUCK UNLOADING ARM,LOADING ARM,29-TFU,A,,,,,
TK-1010A,NAPHTHA TANK,TANK,29-TFU,A,,Naphtha,,,
TK-1210C,HP ETHYLENE SPHERICAL TANK,TANK,29-TFU,,,HP Ethylene,,,
TK-1561,MIXED XYLENE TRUCK LOADING TANK,TANK,29-TFU,A,,Mixed Xylene,,,
ZZ-3040A,CARBON CANISTER AT TK-3040,CANISTER,20-CTU,C,,,,,
ZZ-3040C,CARBON CANISTER AT D-3042,CANISTER,20-CTU,C,,,,,
ZZ-3071B,CARBON CANISTER AT NO.2 NEUTRALIZATION TANK,CANISTER,20-CTU,C,,,,,
TK-3040,SLOP OIL TANK,TANK,20-CTU,C,,,,,
TK-3074,COAGULATION TANK,TANK,20-CTU,C,,,,,
E-562,ETHYLENE REFRIGERANT DESUPERHEATER,HEAT EXCHANGER,22-ORU,A,,"Ethylene Refrigerant 
 Desuperheater",H-BKU,,
P-380A,C.G. ABSORBER REFLUX PUMP,PUMP,22-ORU,B,,C.G. Absorber Reflux Pump,Centrifugal,,
C-130B,DECOKE AIR COMPRESSOR,AIR COMPRESSOR,21-CFU,B,,,,,
P-216B,PYROLYSIS GASL OIL PRODUCT PUMP,PUMP,22-ORU,B,,Pyrolysis Gasl Oil Product Pump,Centrifugal,,
E-201C,LPS-2 GENERATOR,HEAT EXCHANGER,22-ORU,C,,LPS-2 Generator,H-BKM,,
P-344B,STRONG CAUSTIC CIRCULATION PUMP,PUMP,22-ORU,B,,Strong Caustic Circulation Pump,Centrifugal,,
STR-540B,HV Strainer,STRAINER,22-ORU,B,,,,,
P-601A,DEPROPANIZER NET OVERHEAD PUMP,PUMP,22-ORU,B,,Depropanizer Net Overhead Pump,Centrifugal,,
P-640C,C3 TOWER NO. 1 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 1 Reflux Pump,Centrifugal,,
P-700A,DEBUTANIZER REFLUX PUMP,PUMP,22-ORU,B,,Debutanizer Reflux Pump,Centrifugal,,
D-222,QUENCH WATER DRAIN DRUM,DRUM,22-ORU,B,,Quench Water Drain Drum,Horizontal,100,3.5
D-245,CONDENSATE POT FOR E-245A-D,DRUM,22-ORU,A,,Condensate Pot for E-245A-D,Horizontal,350,16 & FV
H-830,GHU-2 HEATER,FURNACE,24-ARU,,,GHU-2 Heater,,,37.6 / FV
X-3070,NO.I NEUTRALIZATION MIXER,MIXER,20-CTU,B,,,,,
E-720,SHU 1ST STAGE REACTOR HEATER,HEAT EXCHANGER,23-OCU,,,"SHU 1st Stage 
Reactor Heater",H-BEU,,
E-732,SHU 2ND STAGE REACTOR EFFLUENT COOLER,HEAT EXCHANGER,23-OCU,,,"SHU 2nd Stage Reactor 
Effluent Cooler",H-AEM,,
E-760,OCT REACTOR FEED/EFFLUENT EXCHANGER,HEAT EXCHANGER,23-OCU,,,"OCT Reactor 
Feed/Effluent Exchanger",V-CES,,
D-961,LP VENT DRUM,DRUM,24-ARU,A,,LP Vent Drum,V,250,3.5 / FV
E-875B,SRC REBOILER,HEAT EXCHANGER,24-ARU,A,,SRC Reboiler,,,
P-3051,CHEMICAL SPILL WALL PUMP,PUMP,20-CTU,C,,,,,
E-2601,COLD BLOWDOWN VAPORIZER,HEAT EXCHANGER,20-CTU,A,,,,,
F-2102B,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,C,,,,,
X-2101,RAW WATER STATIC MIXER,MIXER,20-CTU,C,,,,,
TK-2100,TREATED WATER TANK,TANK,20-CTU,A,,,,,
D-2051,SPENT CAUSTIC VENT GAS KNOCKOUT DRUM,DRUM,20-CTU,C,,SPENT CAUSTIC VENT GAS K.O.DRUM,"Type : Drum with disc and doughnut (K-
0.04)",3.5,110
FA-2051B,SPENT CAUSTIC VENT GAS FLAME ARRESTOR,FLAME ARRESTOR,20-CTU,C,,SPENT CAUSTIC VENT GAS FLAME ARESTOR,Vertical,3.5,110.0
H-2050C,PACKAGED BOILERS,BOILER,20-CTU,A,,PACKAGED BOILERS,"37VP18 Natural Circ, FD, Pkg Blr",63.7 (Blr) 46.2 (SH),
D-1010,TANK YARD LIGHT OIL DRAIN DRUM,DRUM,29-TFU,A,,Light Oil drain drum,Cylindrical  (Horizontal),,
TK-2023,PH CONTROL AGENT CONTAINER FOR BFW,TANK,20-CTU,B,,PH CONTROL AGENT DOSING TANK,Storage Tank,,65
E-1212,VAPORIZER / SUPERHEATER,HEAT EXCHANGER,29-TFU,A,,"Offspec Ethylene/
Propylene",Shell & Tube,,
TK-1510,RAW PYGAS / 1ST HYDRO PYGAS TANK,TANK,29-TFU,A,,Raw /1st Hydro Pyrolysis Gasoline,,,
TK-1550,TOLUENE TANK,TANK,29-TFU,A,,Toluene,,,
ZZ-3060C,CARBON CANISTER AT OIL DRAIN PIT,CANISTER,20-CTU,B,,,,,
ZZ-3071A,CARBON CANISTER AT NO.1 NEUTRALIZATION TANK,CANISTER,20-CTU,C,,,,,
PIT-3310A,AERATION BASIN,PIT AND BASIN,20-CTU,C,,,,,
TK-3079,NH3 TANK,TANK,20-CTU,A,,,,,
TK-3081,NO.3 NEUTRALIZATION TANK,TANK,20-CTU,B,,,,,
F-578B,GAS FILTER (BUFFER GAS),FILTER,22-ORU,A,,,,,
